数据,目标,字段,pearson,spearman,mi,dcor,M0,loco,perm,sage,graph,M2_est,M2_cert,M2
RTS-GMLC,Y_机组出力_223_STEAM_3,负荷预测_区1,0.2514428861820725,0.2429154077861431,0.2301639645320419,0.500918234120964,0.28171128,-0.000212703701384,-6.951670949799649e-05,0.00206741218098,5.729174372925135,0.42727703,0.43917948,0.43917948
RTS-GMLC,Y_机组出力_223_STEAM_3,负荷预测_区2,0.2967615318458825,0.3019051294380017,0.2507926207416719,0.5512211126061451,0.335303,-0.0001280805527577,0.0001796166904258,0.0012416025411242,6.581527864190519,0.43806225,0.44970405,0.44970405
RTS-GMLC,Y_机组出力_223_STEAM_3,负荷预测_区3,0.0389883999448282,0.0254465515764562,0.1193076944574134,0.1857005839273189,0.095858395,0.0006486871821078,0.0004790388941457,0.0001801291375782,2.8810020330581647,0.2167511,0.23133963,0.2379294
RTS-GMLC,Y_机组出力_223_STEAM_3,风电出力预测,0.2824711594165693,0.2673162413845344,0.2253430785069996,0.5109525531763006,0.30885822,2.6614905830335545e-06,0.0002139508638473,0.0016399021690118,5.329176503965523,0.46094924,0.48356694,0.48356694
RTS-GMLC,Y_机组出力_223_STEAM_3,光伏出力预测,0.1244106350099154,0.1375738233124576,0.1497897564171193,0.3457407278917098,0.13392484,0.0001296062923644,-0.0003593285266667,0.003469648301472,4.932359691850647,0.34575614,0.34698558,0.34698558
RTS-GMLC,Y_机组出力_223_STEAM_3,屋顶光伏预测,0.0812208552188223,0.103067529914978,0.1339318838660208,0.3023520868750181,0.09420979,-0.0001382989711194,0.0001482979983374,-0.0007869496866175,3.649864338479338,0.35066137,0.3514496,0.3514496
RTS-GMLC,Y_机组出力_223_STEAM_3,水电出力预测,0.0216050871991993,0.0191439986925082,0.0907074139456831,0.146426713558441,0.039310932,-9.379927598096582e-05,-0.0002895292885357,0.0002976590937874,1.686006353461644,0.1570222,0.18239948,0.18239948
RTS-GMLC,Y_机组出力_223_STEAM_3,调节上调需求,0.0108399057207452,0.0094742464875232,0.1086565416098599,0.166600564554796,0.07827866,-4.341631181237205e-05,-7.475728212651412e-05,0.000514288530641,1.968067327553364,0.21443592,0.25609517,0.28526014
RTS-GMLC,Y_机组出力_223_STEAM_3,调节下调需求,0.0062600329466474,0.0038944478229052,0.1021371519853779,0.1127588419345552,0.043301582,-0.0001359536419501,5.4305633102469385e-05,-7.360648679426152e-05,1.2246782536294691,0.17668027,0.22057396,0.27547902
RTS-GMLC,Y_机组出力_223_STEAM_3,旋转备用需求,0.2176776105154793,0.1859289156391246,0.2178168445918684,0.4588336030781316,0.24450898,-0.000147459752579,-5.78634479935225e-05,-0.0024654193464563,5.761480916664263,0.42605454,0.4414264,0.4414264
RTS-GMLC,Y_机组出力_223_STEAM_3,系统电能价格,0.5011543183395312,0.8787821465983466,1.4636563030623255,0.8128913535885954,0.9726233,-5.553150754422642e-05,-0.0001626016677628,0.0035429207117894,23.67314316540212,0.96097153,0.9726233,0.9726233
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_116,0.4916241502324175,0.8619128573359327,1.4547569530676885,0.7964054315819712,0.9575866,-3.509063589357542e-05,2.974779454103516e-05,0.0024704850809398,23.55414575718106,0.9448725,0.9575866,0.9575866
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_121,0.4786044594315642,0.8371180692812513,1.425549286580451,0.7638390423264129,0.92867625,-5.2561065100209525e-05,6.025345969984386e-06,-0.0011627346088805,23.54590280116472,0.9016939,0.92867625,0.92867625
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_215,0.5081925877340308,0.8995313856033237,1.4982264393513611,0.8343403611783153,0.9819353,-5.360829590839167e-05,0.0014849369351463,0.0274222978470632,23.469343353063536,0.9810241,0.9819353,0.9819353
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_223,0.5099512443620623,0.9103973664768392,1.6018650974240731,0.8480602398932774,0.9950751,0.0034547367911818,1.846095777435218,0.9996224500550422,22.36393058904079,0.9944745,0.9950751,0.9950751
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_303,0.4454583872414386,0.7574849770589557,1.2368718077345011,0.6737028307027453,0.902346,-3.6180897018622815e-05,3.920414775151482e-05,0.0023645494038604,13.78211371630584,0.9018678,0.902346,0.902346
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_309,0.1693780404757607,0.2956951340314888,1.4330807523585865,0.5846222239580522,0.9222705,-0.0001916178830939,-1.1070743394925308e-05,0.0001203673534155,23.41389390767024,0.9299407,0.9222705,0.9222705
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_317,0.4752395503655487,0.8806354419333254,1.4263698396497455,0.7414702529889136,0.9690399,-0.000134557924159,-2.0932621587732568e-05,-0.0010716493858585,21.386552352382765,0.9643616,0.9690399,0.9690399
RTS-GMLC,Y_机组出力_223_STEAM_3,节点电价_318,0.4714455180773751,0.8601063074366931,1.436519275332694,0.7810506355660494,0.94576526,-1.049707448708137e-05,0.0001796615814064,-0.0015595700247899,22.37971401335784,0.9358727,0.94576526,0.94576526
