数据,目标,τ,方法,字段数,关键数,隐藏数,AP_关键,AP_隐藏,R精确率
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,pearson,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,spearman,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,mi,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,dcor,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,M0,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,loco,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,perm,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,sage,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,graph,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,M2_est,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,M2_cert,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,M2,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,pearson,23,16,6,0.9924172794117647,0.9484126984126984,0.9375
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,spearman,23,16,6,0.9963235294117647,0.976190476190476,0.9375
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,mi,23,16,6,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,dcor,23,16,6,0.9924172794117647,0.9484126984126984,0.9375
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,M0,23,16,6,0.9891493055555556,0.9305555555555556,0.9375
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,loco,23,16,6,0.6838347997555159,0.456973581973582,0.625
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,perm,23,16,6,0.7957596055246522,0.5537749287749288,0.6875
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,sage,23,16,6,0.8588753476579059,0.813034188034188,0.625
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,graph,23,16,6,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,M2_est,23,16,6,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,M2_cert,23,16,6,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,M2,23,16,6,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,pearson,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,spearman,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,mi,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,dcor,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M0,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,loco,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,perm,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,sage,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,graph,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M2_est,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M2_cert,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M2,23,23,13,,,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.7,pearson,23,19,9,0.9658429168805465,0.8696920363587031,0.8947368421052632
RTS-GMLC,Y_机组出力_221_CC_1,0.7,spearman,23,19,9,0.9812773039317657,0.928774928774929,0.8947368421052632
RTS-GMLC,Y_机组出力_221_CC_1,0.7,mi,23,19,9,0.9807434578800878,0.9115961199294533,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,0.7,dcor,23,19,9,0.9740184594051193,0.8872285122285124,0.8947368421052632
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M0,23,19,9,0.9728822155068688,0.8790123456790124,0.8947368421052632
RTS-GMLC,Y_机组出力_221_CC_1,0.7,loco,23,19,9,0.8121952381330637,0.7103285603285603,0.7894736842105263
RTS-GMLC,Y_机组出力_221_CC_1,0.7,perm,23,19,9,0.8965319755270762,0.7652227402227403,0.7894736842105263
RTS-GMLC,Y_机组出力_221_CC_1,0.7,sage,23,19,9,0.9065360527056685,0.8175805675805676,0.8421052631578947
RTS-GMLC,Y_机组出力_221_CC_1,0.7,graph,23,19,9,0.9846358320042528,0.9361111111111113,0.8947368421052632
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M2_est,23,19,9,0.9861974337288004,0.9376903960237295,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M2_cert,23,19,9,0.9861974337288004,0.9376903960237295,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M2,23,19,9,0.9861974337288004,0.9376903960237295,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,0.5,pearson,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,spearman,23,23,19,,,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,mi,23,23,19,,,1.0
