数据,目标,τ,δ,策略,扣留数,最优扣留数,残余真危险组合,危险组合数
PJM-load,Y_metered_load_mw,0.5,0.05,估计MUS最小命中集,6,9,35,237
PJM-load,Y_metered_load_mw,0.5,0.05,自适应M̂2贪心,8,9,19,237
PJM-load,Y_metered_load_mw,0.5,,单字段定级（扣留单字段越阈者）,0,9,237,237
PJM-load,Y_metered_load_mw,0.7,0.0,估计MUS最小命中集,2,3,26,44
PJM-load,Y_metered_load_mw,0.7,0.0,自适应M̂2贪心,2,3,3,44
PJM-load,Y_metered_load_mw,0.7,0.05,估计MUS最小命中集,2,3,3,44
PJM-load,Y_metered_load_mw,0.7,0.05,自适应M̂2贪心,2,3,3,44
PJM-load,Y_metered_load_mw,0.7,,单字段定级（扣留单字段越阈者）,0,3,44,44
PJM-gen/ic,Y_total_gen,0.5,0.0,估计MUS最小命中集,8,11,34,179
PJM-gen/ic,Y_total_gen,0.5,0.0,自适应M̂2贪心,10,11,36,179
PJM-gen/ic,Y_total_gen,0.5,0.05,估计MUS最小命中集,8,11,34,179
PJM-gen/ic,Y_total_gen,0.5,0.05,自适应M̂2贪心,11,11,17,179
PJM-gen/ic,Y_total_gen,0.5,,单字段定级（扣留单字段越阈者）,2,11,177,179
PJM-gen/ic,Y_total_gen,0.7,0.0,估计MUS最小命中集,3,5,27,39
PJM-gen/ic,Y_total_gen,0.7,0.0,自适应M̂2贪心,4,5,3,39
PJM-gen/ic,Y_total_gen,0.7,0.05,估计MUS最小命中集,4,5,3,39
PJM-gen/ic,Y_total_gen,0.7,0.05,自适应M̂2贪心,4,5,3,39
PJM-gen/ic,Y_total_gen,0.7,,单字段定级（扣留单字段越阈者）,2,5,37,39
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.0,估计MUS最小命中集,1,3,42,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.0,自适应M̂2贪心,3,3,4,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.05,估计MUS最小命中集,3,3,29,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.05,自适应M̂2贪心,3,3,4,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,,单字段定级（扣留单字段越阈者）,0,3,102,102
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.0,估计MUS最小命中集,0,1,1,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.0,自适应M̂2贪心,0,1,1,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.05,估计MUS最小命中集,0,1,1,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.05,自适应M̂2贪心,0,1,1,1
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,,单字段定级（扣留单字段越阈者）,0,1,1,1
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.0,估计MUS最小命中集,16,17,15,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.0,自适应M̂2贪心,19,17,0,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.05,估计MUS最小命中集,18,17,1,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.05,自适应M̂2贪心,20,17,0,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,,单字段定级（扣留单字段越阈者）,5,17,537,542
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.0,估计MUS最小命中集,8,10,8,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.0,自适应M̂2贪心,8,10,8,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.05,估计MUS最小命中集,11,10,2,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.05,自适应M̂2贪心,13,10,0,335
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,,单字段定级（扣留单字段越阈者）,3,10,332,335
