field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9484992027282715,-2.196689158741956,False
gross_actual_interchange_mw,0.2460934792895835,-0.5551137924194336,-0.8012072717090171,False
total_gen,0.9906449538219424,0.941591203212738,-0.04905375060920436,True
metered_load_mw,0.9762308832723112,0.9674991369247437,-0.00873174634756757,True
total_losses,0.6540839836602339,0.6983511447906494,0.04426716113041551,True
congestion_price_da,0.0475838272605031,0.3207787275314331,0.27319490027093,True
congestion_price_rt,0.4561738508473963,0.47087621688842773,0.014702366041031423,True
marginal_loss_price_da,0.4407231017762543,0.46359896659851074,0.022875864822256453,True
total_lmp_da,0.9299314144617218,0.8967710733413696,-0.033160341120352155,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9586244225502014,-0.016603396407560145,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.8765075206756592,-0.0653355903699876,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.4459981918334961,-0.010905846171007982,True
