field,loss_mode,temporal_r2,shuffle_r2,delta,temporal_best_loss,shuffle_best_loss
net_actual_interchange_mw,maskloss,-1.9484992027282715,-0.0007501840591430664,1.9477490186691284,0.3279282748699188,0.2208205759525299
gross_actual_interchange_mw,maskloss,-0.5551137924194336,-1.1920928955078125e-06,0.5551126003265381,0.3279282748699188,0.2208205759525299
total_gen,maskloss,0.9590822458267212,0.9806605577468872,0.021578311920166016,0.3279282748699188,0.2208205759525299
metered_load_mw,maskloss,0.9756610989570618,0.9851073026657104,0.009446203708648682,0.3279282748699188,0.2208205759525299
total_losses,maskloss,0.6956095695495605,0.7838443517684937,0.0882347822189331,0.3279282748699188,0.2208205759525299
congestion_price_da,maskloss,0.2573174834251404,0.3149822950363159,0.05766481161117554,0.3279282748699188,0.2208205759525299
congestion_price_rt,maskloss,0.4744042158126831,0.543569028377533,0.06916481256484985,0.3279282748699188,0.2208205759525299
marginal_loss_price_da,maskloss,0.47110646963119507,0.7138798832893372,0.2427734136581421,0.3279282748699188,0.2208205759525299
total_lmp_da,maskloss,0.8982477188110352,0.9765986204147339,0.07835090160369873,0.3279282748699188,0.2208205759525299
da_as_total_mw_primary_reserve,maskloss,0.960966169834137,0.9444363713264465,-0.01652979850769043,0.3279282748699188,0.2208205759525299
da_as_total_mw_synchronized_reserve,maskloss,0.9222976565361023,0.9070821404457092,-0.015215516090393066,0.3279282748699188,0.2208205759525299
da_as_total_mw_thirty_minutes_reserve,maskloss,0.4315701723098755,0.7696952819824219,0.3381251096725464,0.3279282748699188,0.2208205759525299
net_actual_interchange_mw,allloss,-1.3186008930206299,0.6456228494644165,1.9642237424850464,0.46726393699645996,0.23632913827896118
gross_actual_interchange_mw,allloss,0.08869987726211548,0.7103664875030518,0.6216666102409363,0.46726393699645996,0.23632913827896118
total_gen,allloss,0.9603658318519592,0.9822465777397156,0.021880745887756348,0.46726393699645996,0.23632913827896118
metered_load_mw,allloss,0.9705870747566223,0.9864377975463867,0.015850722789764404,0.46726393699645996,0.23632913827896118
total_losses,allloss,0.6504983901977539,0.7882311344146729,0.13773274421691895,0.46726393699645996,0.23632913827896118
congestion_price_da,allloss,0.2935686707496643,0.3139934539794922,0.02042478322982788,0.46726393699645996,0.23632913827896118
congestion_price_rt,allloss,0.47271281480789185,0.548061728477478,0.07534891366958618,0.46726393699645996,0.23632913827896118
marginal_loss_price_da,allloss,0.4865207076072693,0.7138603329658508,0.22733962535858154,0.46726393699645996,0.23632913827896118
total_lmp_da,allloss,0.8779425024986267,0.9757066369056702,0.09776413440704346,0.46726393699645996,0.23632913827896118
da_as_total_mw_primary_reserve,allloss,0.9627419710159302,0.9442599415779114,-0.0184820294380188,0.46726393699645996,0.23632913827896118
da_as_total_mw_synchronized_reserve,allloss,0.9106491804122925,0.9082551598548889,-0.0023940205574035645,0.46726393699645996,0.23632913827896118
da_as_total_mw_thirty_minutes_reserve,allloss,0.4116494655609131,0.7909173965454102,0.37926793098449707,0.46726393699645996,0.23632913827896118
