node_type,target_field,pearson,spearman,kendall,nmi,distance_corr,dominant_metric,dominant_alpha
general,gen_fuel_coal_mw,0.18139507,0.19553654,0.19471657,0.238631,0.18972081,nmi,0.238631
general,gen_fuel_gas_mw,0.20095767,0.19751178,0.19955753,0.20161168,0.20036136,nmi,0.20161168
general,gen_fuel_hydro_mw,0.19591582,0.1983503,0.19981542,0.20483635,0.20108216,nmi,0.20483635
general,gen_fuel_multiple_fuels_mw,0.18046208,0.19015843,0.19759233,0.23863393,0.19315322,nmi,0.23863393
general,gen_fuel_nuclear_mw,0.08007533,0.07818839,0.08883292,0.6771512,0.075752094,nmi,0.6771512
general,gen_fuel_oil_mw,0.22285661,0.19119799,0.17551698,0.13811997,0.2723085,distance_corr,0.2723085
general,gen_fuel_other_renewables_mw,0.20000547,0.1999998,0.20001309,0.19999342,0.19998825,kendall,0.20001309
general,gen_fuel_solar_mw,0.19988163,0.19983847,0.19979855,0.20069349,0.19978783,nmi,0.20069349
general,gen_fuel_storage_mw,0.20030326,0.1993296,0.19936895,0.20139848,0.19959977,nmi,0.20139848
general,gen_fuel_wind_mw,0.2004399,0.19351219,0.20065199,0.21554992,0.189846,nmi,0.21554992
general,gen_fuel_coal_pct,0.20165251,0.20397708,0.19929782,0.19300194,0.20207065,spearman,0.20397708
general,gen_fuel_gas_pct,0.20423406,0.19772626,0.19506729,0.2014102,0.20156218,pearson,0.20423406
general,gen_fuel_hydro_pct,0.20073092,0.19960275,0.19986914,0.1997401,0.20005706,pearson,0.20073092
general,gen_fuel_multiple_fuels_pct,0.19349837,0.19715591,0.19715235,0.21012713,0.20206624,nmi,0.21012713
general,gen_fuel_nuclear_pct,0.19767895,0.20083976,0.19837503,0.21180424,0.19130197,nmi,0.21180424
general,gen_fuel_oil_pct,0.20139745,0.22244976,0.2076667,0.1423478,0.2261383,distance_corr,0.2261383
general,gen_fuel_other_renewables_pct,0.19890495,0.19858855,0.20077689,0.20206213,0.19966742,nmi,0.20206213
general,gen_fuel_solar_pct,0.19986187,0.20009723,0.19993238,0.20022173,0.19988684,nmi,0.20022173
general,gen_fuel_wind_pct,0.20024109,0.20020868,0.19990207,0.1996345,0.20001367,pearson,0.20024109
general,forecast_load_mw_latest_available,0.21985224,0.192305,0.2063776,0.1772525,0.20421275,pearson,0.21985224
general,forecast_load_mw_day_ahead,0.170725,0.17782986,0.1876511,0.2918253,0.17196873,nmi,0.2918253
general,rmccp,0.19292952,0.20071854,0.19729097,0.21047986,0.19858113,nmi,0.21047986
general,rmpcp,0.20289408,0.2089717,0.20416233,0.18188137,0.20209049,spearman,0.2089717
general,total_pjm_loc_credit,0.19113787,0.21573962,0.21115118,0.17100526,0.21096602,spearman,0.21573962
general,total_pjm_reg_purchases,0.19823727,0.20091489,0.20129244,0.19931978,0.2002356,kendall,0.20129244
general,total_pjm_self_sched_reg,0.19999622,0.2003604,0.2001167,0.20036599,0.19916077,nmi,0.20036599
general,total_pjm_assigned_reg,0.2048111,0.20144819,0.19790821,0.19531177,0.20052072,pearson,0.2048111
general,total_pjm_rmccp_cr,0.20612274,0.20024867,0.19681692,0.18707033,0.20974131,distance_corr,0.20974131
general,total_pjm_rmpcp_cr,0.19972765,0.20927437,0.2000762,0.18903941,0.20188247,spearman,0.20927437
general,da_as_mcp_primary_reserve,0.20003553,0.20710929,0.19884136,0.17099155,0.2230223,distance_corr,0.2230223
general,da_as_mcp_synchronized_reserve,0.1586038,0.2685506,0.20302957,0.14150606,0.22830999,spearman,0.2685506
general,da_as_as_req_mw_primary_reserve,0.20082986,0.20148036,0.19691482,0.2062521,0.19452283,nmi,0.2062521
general,da_as_as_req_mw_synchronized_reserve,0.19867331,0.19735114,0.19925612,0.20976472,0.19495471,nmi,0.20976472
general,da_as_as_req_mw_thirty_minutes_reserve,0.20065624,0.20008582,0.19439109,0.20864807,0.19621879,nmi,0.20864807
general,da_as_ss_mw_primary_reserve,0.19976883,0.20039333,0.19977915,0.20098652,0.19907218,nmi,0.20098652
