node_type,target_field,pearson,spearman,kendall,nmi,distance_corr
confidential,net_actual_interchange_mw,0.19914162,0.2008833,0.20184457,0.19791447,0.20021603
confidential,gross_actual_interchange_mw,0.20042741,0.20127098,0.19989668,0.19776998,0.20063493
confidential,total_gen,0.057425205,0.053317603,0.090795904,0.7457353,0.0527259
confidential,metered_load_mw,0.081746586,0.058749266,0.14051114,0.6562019,0.06279115
confidential,total_losses,0.2030862,0.117381506,0.097600915,0.46399134,0.117940076
confidential,congestion_price_da,0.1382592,0.15247458,0.14662078,0.40350622,0.15913913
confidential,congestion_price_rt,0.10342939,0.13483144,0.122576766,0.2593492,0.3798132
confidential,marginal_loss_price_da,0.20455189,0.14930156,0.15468113,0.21245503,0.2790104
confidential,total_lmp_da,0.41718715,0.06311478,0.12596829,0.31585196,0.07787789
confidential,da_as_total_mw_primary_reserve,0.58917904,0.082854524,0.08924232,0.14324899,0.09547522
confidential,da_as_total_mw_synchronized_reserve,0.05428718,0.051201966,0.05874782,0.7822717,0.053491358
confidential,da_as_total_mw_thirty_minutes_reserve,0.25193915,0.21556145,0.20752038,0.14454333,0.18043558
