subset_id,size,struct,n_seeds,v_mean,v_std,v_range
nf00,1,dnn,5,0.19590921998023986,0.00011069251461966646,0.0002956986427307129
nf00,1,gcn,5,0.14976379573345183,0.00014056329307526424,0.00036610662937164307
nf01,2,dnn,5,0.1031920924782753,0.00023412874640985973,0.0006390735507011414
nf01,2,gcn,5,0.0846587911248207,0.00017974640595422124,0.0004344955086708069
nf02,4,dnn,5,0.3269348680973053,0.0015517627928781537,0.0033947527408599854
nf02,4,gcn,5,0.2834006011486053,0.00178472107998921,0.004494011402130127
nf03,8,dnn,5,0.6363626599311829,0.002349455874293482,0.005442559719085693
nf03,8,gcn,5,0.6844298124313355,0.006217358943034391,0.016052722930908203
nf04,12,dnn,5,0.7174169063568115,0.0012466329933196582,0.0031442642211914062
nf04,12,gcn,5,0.7311862826347351,0.01140459075760368,0.02628105878829956
nf05,16,dnn,5,0.8509617686271668,0.0009144640956336088,0.002176225185394287
nf05,16,gcn,5,0.8597785830497742,0.003252137555169192,0.007626056671142578
nf06,24,dnn,5,0.7739663600921631,0.001810335051716205,0.005037665367126465
nf06,24,gcn,5,0.7614367842674256,0.006162857031913117,0.014221787452697754
nf07,32,dnn,5,0.8243201851844788,0.0019132291740550577,0.004700779914855957
nf07,32,gcn,5,0.8383282065391541,0.0024041826691151022,0.005877494812011719
nf08,40,dnn,5,0.8755214810371399,0.0014553964055645146,0.0037319064140319824
nf08,40,gcn,5,0.862342357635498,0.00470363002996277,0.012433886528015137
nf09,44,dnn,5,0.8663421034812927,0.0021361679584620506,0.005325794219970703
nf09,44,gcn,5,0.8646865487098694,0.004600674517538924,0.012134253978729248
