subset_id,size,struct,conf,r2_mean,r2_std
nf00,1,dnn,congestion_price_da,0.06121032238006592,0.0008679306309984723
nf00,1,dnn,congestion_price_rt,0.0163679838180542,0.0009397099995533569
nf00,1,dnn,da_as_total_mw_primary_reserve,0.09910891056060792,0.00044724235208369346
nf00,1,dnn,da_as_total_mw_synchronized_reserve,0.09707999229431152,0.0004580648304398252
nf00,1,dnn,da_as_total_mw_thirty_minutes_reserve,0.10597531795501709,0.00046762895264205757
nf00,1,dnn,gross_actual_interchange_mw,0.13007452487945556,0.000748595094383007
nf00,1,dnn,marginal_loss_price_da,0.11515215635299683,0.000566856377339386
nf00,1,dnn,metered_load_mw,0.4568006992340088,0.00047599491039997967
nf00,1,dnn,net_actual_interchange_mw,0.18770371675491332,0.0012567474800287298
nf00,1,dnn,total_gen,0.46755810976028445,0.0005237981652786366
nf00,1,dnn,total_lmp_da,0.14576921463012696,0.0005658784827694809
nf00,1,dnn,total_losses,0.4681097626686096,0.0006284717795450479
nf00,1,gcn,congestion_price_da,0.0,0.0
nf00,1,gcn,congestion_price_rt,0.0,0.0
nf00,1,gcn,da_as_total_mw_primary_reserve,0.0,0.0
nf00,1,gcn,da_as_total_mw_synchronized_reserve,0.0,0.0
nf00,1,gcn,da_as_total_mw_thirty_minutes_reserve,0.0,0.0
nf00,1,gcn,gross_actual_interchange_mw,0.13064414262771606,0.0013404221202672063
nf00,1,gcn,marginal_loss_price_da,0.11453897953033447,0.002522716988356437
nf00,1,gcn,metered_load_mw,0.45919352769851685,0.0008393619534395194
nf00,1,gcn,net_actual_interchange_mw,0.0,0.0
nf00,1,gcn,total_gen,0.46991958618164065,0.0009069930133950825
nf00,1,gcn,total_lmp_da,0.14922763109207154,0.0009169446126227854
nf00,1,gcn,total_losses,0.4736417055130005,0.0022311648488569907
nf01,2,dnn,congestion_price_da,0.02245970964431763,0.000422688843342066
nf01,2,dnn,congestion_price_rt,0.05829687118530273,0.0015858897827283535
nf01,2,dnn,da_as_total_mw_primary_reserve,0.08727109432220459,0.0010979358295438101
nf01,2,dnn,da_as_total_mw_synchronized_reserve,0.03416242599487305,0.00031296555384532085
nf01,2,dnn,da_as_total_mw_thirty_minutes_reserve,0.15252794027328492,0.0011580949177321014
nf01,2,dnn,gross_actual_interchange_mw,0.10623694658279419,0.0007598593840281796
nf01,2,dnn,marginal_loss_price_da,0.07827255725860596,0.0007214531671765638
nf01,2,dnn,metered_load_mw,0.1519019842147827,0.0005276450581040024
nf01,2,dnn,net_actual_interchange_mw,0.1293176531791687,0.0011672087407696935
nf01,2,dnn,total_gen,0.15429887771606446,0.0005310042715746849
nf01,2,dnn,total_lmp_da,0.12974246740341186,0.000681555060400937
nf01,2,dnn,total_losses,0.1338166117668152,0.0007030075272018247
nf01,2,gcn,congestion_price_da,0.0,0.0
nf01,2,gcn,congestion_price_rt,0.05525624752044678,0.0008630602233325683
