数据,目标,方法,V误差,V偏差,M2误差,M2偏差,Γ2误差,M2排序,认证前1,认证前3,背景召回前3,关键召回05,关键召回07
RTS-GMLC,机组出力_223_STEAM_3,ours,0.004509630147367716,-0.0022141041699796915,0.010293619707226753,-0.00780430156737566,0.009736426174640656,0.9920948616600791,0.9903504252433777,0.9926756024360657,0.782608695652174,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,ours,0.006225210148841143,-0.0038746348582208157,0.006873385515064001,-0.0028918548487126827,0.005053866654634476,0.9970355731225298,0.9976590871810913,0.998338520526886,0.9565217391304348,1.0,1.0
RTS-GMLC,线路潮流_C35,ours,0.006066168192774057,-0.003107337048277259,0.00839618407189846,-0.0047034271992743015,0.008839961141347885,0.9901185770750988,0.9957312345504761,0.9990195631980896,0.8695652173913043,0.8695652173913043,1.0
RTS-GMLC,机组出力_223_STEAM_3,surrogate,0.053803689777851105,-0.05380340665578842,0.060161933302879333,-0.05998649820685387,0.026797538623213768,0.9693675889328063,0.9597445130348206,0.9784348011016846,0.6086956521739131,0.6521739130434783,0.625
RTS-GMLC,机组出力_221_CC_1,surrogate,0.07788282632827759,-0.0778810977935791,0.09152256697416306,-0.09136168658733368,0.0451844297349453,0.9891304347826088,0.9693899750709534,0.9761042594909668,0.6521739130434783,0.6086956521739131,0.47368421052631576
RTS-GMLC,线路潮流_C35,surrogate,0.06273184716701508,-0.0627312883734703,0.04118361324071884,-0.02973124198615551,0.040351711213588715,0.9209486166007905,0.9345859289169312,0.9624152183532715,0.2608695652173913,0.30434782608695654,0.7142857142857143
RTS-GMLC,机组出力_223_STEAM_3,lin,0.36964040994644165,-0.3696369528770447,0.24051301181316376,-0.2228042632341385,0.03747701644897461,0.9120553359683794,0.9536787867546082,0.9636633992195129,0.6086956521739131,0.5217391304347826,0.0
RTS-GMLC,机组出力_221_CC_1,lin,0.48699021339416504,-0.4869900643825531,0.3377067446708679,-0.33416980504989624,0.05574030056595802,0.6709486166007905,0.772314727306366,0.955352246761322,0.13043478260869565,0.2608695652173913,0.0
RTS-GMLC,线路潮流_C35,lin,0.14377202093601227,-0.1437666267156601,0.09385447204113007,-0.0817979946732521,0.04152694717049599,0.7737154150197629,0.9126170873641968,0.9475901126861572,0.21739130434782608,0.17391304347826086,0.2857142857142857
RTS-GMLC,机组出力_223_STEAM_3,poly,0.17499570548534393,-0.17499227821826935,0.12381277978420258,-0.11850754916667938,0.029577607288956642,0.9466403162055337,0.9596242904663086,0.9656822085380554,0.6086956521739131,0.5652173913043478,0.125
RTS-GMLC,机组出力_221_CC_1,poly,0.23188158869743347,-0.2318783700466156,0.1743476837873459,-0.16557271778583527,0.04379722848534584,0.9446640316205533,0.9664801359176636,0.9874824285507202,0.6956521739130435,0.43478260869565216,0.21052631578947367
RTS-GMLC,线路潮流_C35,poly,0.09987518191337585,-0.09985840320587158,0.04288129881024361,-0.012563765048980713,0.068291075527668,0.8893280632411068,0.9433056712150574,0.976702094078064,0.30434782608695654,0.391304347826087,0.5714285714285714
RTS-GMLC,机组出力_223_STEAM_3,dropout,0.7800812125205994,-0.7800812125205994,0.3889118731021881,-0.3889118731021881,0.2668432891368866,0.8682114419950114,0.0394759364426136,0.0795758068561554,0.0,0.0,0.0
RTS-GMLC,机组出力_221_CC_1,dropout,0.8578471541404724,-0.8578471541404724,0.4997146427631378,-0.4997146427631378,0.1918318122625351,0.8942687747035574,1.1903417544090189e-05,0.026854706928133965,0.0,0.0,0.0
RTS-GMLC,线路潮流_C35,dropout,0.3800641596317291,-0.3800641596317291,0.31519612669944763,-0.31519612669944763,0.11373422294855118,0.5845700188970591,0.3801218867301941,0.766966700553894,0.043478260869565216,0.0,0.0
RTS-GMLC,机组出力_223_STEAM_3,ws,0.06953137367963791,-0.06952796131372452,0.05675226077437401,-0.054742176085710526,0.019920164719223976,0.9752964426877472,0.9712379574775696,0.9809415340423584,0.7391304347826086,0.9130434782608695,0.5
RTS-GMLC,机组出力_221_CC_1,ws,0.1297147423028946,-0.12971262633800507,0.11277240514755249,-0.09666278958320618,0.044461049139499664,0.9762845849802372,0.9683530926704407,0.9801501631736755,0.6956521739130435,0.6086956521739131,0.2631578947368421
RTS-GMLC,线路潮流_C35,ws,0.053886111825704575,-0.05387752503156662,0.03787090629339218,0.00412423862144351,0.05562712252140045,0.9229249011857708,0.964449942111969,0.9723308682441711,0.30434782608695654,0.5217391304347826,0.7142857142857143
RTS-GMLC,机组出力_223_STEAM_3,tabpfn,0.004731765016913414,5.04881318192929e-05,0.006905287504196167,0.004325904417783022,0.011906024068593979,0.9980237154150198,0.9942829608917236,0.9995399117469788,0.9565217391304348,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,tabpfn,0.004922152496874332,0.0021614497527480125,0.009539518505334854,0.0073594762943685055,0.013011771254241467,0.9980237154150198,0.9931374192237854,1.0,1.0,1.0,1.0
RTS-GMLC,线路潮流_C35,tabpfn,0.011424444615840912,0.010217749513685703,0.005647249985486269,0.0049598319455981255,0.007146909367293119,0.991106719367589,0.9961194396018982,0.9996362924575806,0.8695652173913043,0.8260869565217391,1.0
NEM,机组出力_BW01,ours,0.005959406029433012,0.0013689763145521283,0.014620186761021614,-0.01170866284519434,0.01557987742125988,0.9737486095661846,0.9402130246162415,0.9591165781021118,0.6333333333333333,1.0,
NEM,机组出力_TUMUT3,ours,0.016857516020536423,0.001732728211209178,0.023328952491283417,-0.02010730840265751,0.025632353499531746,0.903448275862069,0.8288894891738892,0.9239873886108398,0.4,0.2727272727272727,
NEM,机组出力_PPCCGT,ours,0.007425964344292879,-0.0023160839919000864,0.005205975845456123,0.0010786066995933652,0.0046159629710018635,0.9955506117908787,0.9946029186248779,0.9967963099479675,0.9,1.0,1.0
NEM,机组出力_BW01,surrogate,0.04179693013429642,-0.04176564887166023,0.04743892326951027,-0.04743892326951027,0.033974789083004,0.9617352614015572,0.8702775835990906,0.9194686412811279,0.3,0.7,
NEM,机组出力_TUMUT3,surrogate,0.03320743888616562,-0.03185919299721718,0.05370364710688591,-0.05370364710688591,0.047476720064878464,0.9172413793103448,0.7501814961433411,0.8583210706710815,0.23333333333333334,0.0,
NEM,机组出力_PPCCGT,surrogate,0.03809772804379463,-0.03805730491876602,0.03148597478866577,-0.03120472840964794,0.025368135422468185,0.9719688542825362,0.9579824209213257,0.9902380108833313,0.7,0.9,0.6
NEM,机组出力_BW01,lin,0.13490450382232666,-0.13490380346775055,0.10169818997383118,-0.09990968555212021,0.03738564997911453,0.3459399332591768,0.7944053411483765,0.8867955803871155,0.2,0.26666666666666666,
NEM,机组出力_TUMUT3,lin,0.08908393234014511,-0.0888969898223877,0.09818916767835617,-0.09818916767835617,0.07000754773616791,0.818020022246941,0.7187950015068054,0.7835441827774048,0.16666666666666666,0.0,
NEM,机组出力_PPCCGT,lin,0.16555748879909515,-0.1655523180961609,0.10316624492406845,-0.10316624492406845,0.0336262583732605,0.3793103448275862,0.891491711139679,0.9586484432220459,0.6333333333333333,0.5,0.3
NEM,机组出力_BW01,poly,0.09453760087490082,-0.09452230483293533,0.08426345884799957,-0.08426345884799957,0.03856126219034195,0.7272525027808675,0.8944278955459595,0.9193504452705383,0.3333333333333333,0.43333333333333335,
NEM,机组出力_TUMUT3,poly,0.05365440249443054,-0.05272161215543747,0.08165403455495834,-0.08165403455495834,0.06889771670103073,0.8518353726362626,0.7381880879402161,0.8011364936828613,0.2,0.0,
