方法,V误差,V偏差,M2误差,M2偏差,Γ2误差,M2排序,认证前1,认证前3,背景召回前3,关键召回05,关键召回07,目标数,样本V误差
dropout,0.4419721379876137,-0.4419721379876137,0.2426246590912342,-0.23673665523529053,0.11099332273006439,0.534118352406541,0.2952021406215863,0.4192628486081958,0.026847826086956524,0.026590909090909092,0.0,10.0,0.4599468603730202
lazyvi,,,,,,,,,,,,,0.03681751200929284
lin,0.21239036694169044,-0.21236779242753984,0.14427415952086448,-0.13850692585110663,0.05007471665740013,0.7367061998831285,0.8034071624279022,0.8779300510883331,0.25236213062300017,0.23783832109919065,0.1607142857142857,10.0,0.2183703288435936
ours,0.017888663103803992,-0.012695171299856155,0.014915626170113683,-0.011796385038178415,0.013714156160131098,0.9679059982687628,0.9607919156551361,0.978249603509903,0.7368544137022398,0.910062582345191,0.7857142857142857,10.0,0.023525072867050766
poly,0.13244358822703362,-0.13233683332800866,0.09595567025244237,-0.08944825492799283,0.04876658115535974,0.8536436730992547,0.8592514574527741,0.9121710956096649,0.38559900244682854,0.30929277244494635,0.26515507518796994,10.0,0.13574484251439572
surrogate,0.06740629933774471,-0.06722820326685905,0.056798989325761794,-0.05405012257397175,0.03370980005711317,0.930361718817764,0.8834456324577331,0.9389709591865539,0.44016092603049123,0.5497360248447205,0.46769266917293234,10.0,0.07016154043376446
tabpfn,0.015500748483464121,0.0012628938275156543,0.013455396192148328,0.005028117680922151,0.01923778154887259,0.9785212868688257,0.9593121886253357,0.9787793040275574,0.7562667043101825,0.8755848861283644,1.0,10.0,0.015810247883200644
ws,0.0657777488231659,-0.06537955161184072,0.04672380071133375,-0.039344958821311594,0.027841191831976177,0.9320537659778504,0.910271281003952,0.9497118592262268,0.5528849049501223,0.6680383022774328,0.46771616541353384,10.0,0.06974339112639427
