数据,目标,方法,样本V误差
RTS-GMLC,机组出力_223_STEAM_3,ours,0.013461746275424957
RTS-GMLC,机组出力_221_CC_1,ours,0.021076936274766922
RTS-GMLC,线路潮流_C35,ours,0.0056617725640535355
RTS-GMLC,机组出力_223_STEAM_3,surrogate,0.054774265736341476
RTS-GMLC,机组出力_221_CC_1,surrogate,0.07630512118339539
RTS-GMLC,线路潮流_C35,surrogate,0.05912145972251892
RTS-GMLC,机组出力_223_STEAM_3,lin,0.37537476420402527
RTS-GMLC,机组出力_221_CC_1,lin,0.49836310744285583
RTS-GMLC,线路潮流_C35,lin,0.13995452225208282
RTS-GMLC,机组出力_223_STEAM_3,poly,0.17668484151363373
RTS-GMLC,机组出力_221_CC_1,poly,0.23508404195308685
RTS-GMLC,线路潮流_C35,poly,0.09616944193840027
RTS-GMLC,机组出力_223_STEAM_3,dropout,0.7795907855033875
RTS-GMLC,机组出力_221_CC_1,dropout,0.8635637164115906
RTS-GMLC,线路潮流_C35,dropout,0.42292320728302
RTS-GMLC,机组出力_223_STEAM_3,ws,0.07341748476028442
RTS-GMLC,机组出力_221_CC_1,ws,0.1304033398628235
RTS-GMLC,线路潮流_C35,ws,0.050584983080625534
RTS-GMLC,机组出力_223_STEAM_3,tabpfn,0.005231286399066448
RTS-GMLC,机组出力_221_CC_1,tabpfn,0.004548226483166218
RTS-GMLC,线路潮流_C35,tabpfn,0.011562755331397057
RTS-GMLC,机组出力_223_STEAM_3,lazyvi,0.025048457086086273
RTS-GMLC,机组出力_221_CC_1,lazyvi,0.03812500089406967
RTS-GMLC,线路潮流_C35,lazyvi,0.014635858125984669
NEM,机组出力_BW01,ours,0.005648200400173664
NEM,机组出力_TUMUT3,ours,0.015477457083761692
NEM,机组出力_PPCCGT,ours,0.007067911792546511
NEM,机组出力_BW01,surrogate,0.04156211018562317
NEM,机组出力_TUMUT3,surrogate,0.03279528394341469
NEM,机组出力_PPCCGT,surrogate,0.04051028564572334
NEM,机组出力_BW01,lin,0.1360628753900528
NEM,机组出力_TUMUT3,lin,0.09230367839336395
NEM,机组出力_PPCCGT,lin,0.16437748074531555
NEM,机组出力_BW01,poly,0.09454721212387085
NEM,机组出力_TUMUT3,poly,0.053148042410612106
NEM,机组出力_PPCCGT,poly,0.12635362148284912
NEM,机组出力_BW01,dropout,0.35353806614875793
NEM,机组出力_TUMUT3,dropout,0.181702122092247
NEM,机组出力_PPCCGT,dropout,0.33974161744117737
NEM,机组出力_BW01,ws,0.03158522769808769
NEM,机组出力_TUMUT3,ws,0.034074828028678894
NEM,机组出力_PPCCGT,ws,0.04123158007860184
NEM,机组出力_BW01,tabpfn,0.006526338867843151
NEM,机组出力_TUMUT3,tabpfn,0.0591968335211277
NEM,机组出力_PPCCGT,tabpfn,0.006982211023569107
NEM,机组出力_BW01,lazyvi,0.0160154327750206
NEM,机组出力_TUMUT3,lazyvi,0.021936073899269104
NEM,机组出力_PPCCGT,lazyvi,0.018653787672519684
PJM-load,metered_load_mw,ours,0.047354139387607574
PJM-load,metered_load_mw,surrogate,0.10123112052679062
PJM-load,metered_load_mw,lin,0.23408842086791992
PJM-load,metered_load_mw,poly,0.1689162403345108
PJM-load,metered_load_mw,dropout,0.44728589057922363
PJM-load,metered_load_mw,ws,0.09144733101129532
PJM-load,metered_load_mw,tabpfn,0.01816343516111374
PJM-load,metered_load_mw,lazyvi,0.06640328466892242
PJM-gen/ic,total_gen,ours,0.04467296600341797
PJM-gen/ic,net_actual_interchange_mw,ours,0.04918322712182999
PJM-gen/ic,total_gen,surrogate,0.11115983873605728
PJM-gen/ic,net_actual_interchange_mw,surrogate,0.10211751610040665
PJM-gen/ic,total_gen,lin,0.19126202166080475
PJM-gen/ic,net_actual_interchange_mw,lin,0.20231294631958008
PJM-gen/ic,total_gen,poly,0.14174285531044006
PJM-gen/ic,net_actual_interchange_mw,poly,0.15532740950584412
PJM-gen/ic,total_gen,dropout,0.41527894139289856
PJM-gen/ic,net_actual_interchange_mw,dropout,0.2868436574935913
PJM-gen/ic,total_gen,ws,0.09689971804618835
PJM-gen/ic,net_actual_interchange_mw,ws,0.08999978750944138
PJM-gen/ic,total_gen,tabpfn,0.015085747465491295
PJM-gen/ic,net_actual_interchange_mw,tabpfn,0.019330929964780807
PJM-gen/ic,total_gen,lazyvi,0.0639800950884819
PJM-gen/ic,net_actual_interchange_mw,lazyvi,0.07009653002023697
CAISO-load,actual_load__mw__ca_iso_tac,ours,0.025646371766924858
CAISO-load,actual_load__mw__ca_iso_tac,surrogate,0.08203840255737305
CAISO-load,actual_load__mw__ca_iso_tac,lin,0.149603471159935
CAISO-load,actual_load__mw__ca_iso_tac,poly,0.10947471857070923
CAISO-load,actual_load__mw__ca_iso_tac,dropout,0.5090005993843079
CAISO-load,actual_load__mw__ca_iso_tac,ws,0.0577896311879158
CAISO-load,actual_load__mw__ca_iso_tac,tabpfn,0.011474714614450932
CAISO-load,actual_load__mw__ca_iso_tac,lazyvi,0.03328059986233711
