i,j,pair_leak,pair_effect,synergy,superadd,gi,gj,single_i,single_j,max_single
19,20,0.13690121471881866,0.1739499568939209,0.08455733209848404,0.06246519088745117,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,0.052343882620334625,0.04803933948278427,0.052343882620334625
37,38,0.2275160551071167,0.3004191517829895,0.08384755253791809,0.009090542793273926,da_as_nsr_mw_primary_reserve,system_energy_price_da,0.07638785243034363,0.1436685025691986,0.1436685025691986
4,20,0.10284785181283951,0.14531844854354858,0.05480851233005524,0.01063549518585205,gen_fuel_nuclear_mw,forecast_load_mw_day_ahead,0.03602759912610054,0.04803933948278427,0.04803933948278427
4,19,0.10700102895498276,0.1519901156425476,0.05465714633464813,0.010820746421813965,gen_fuel_nuclear_mw,forecast_load_mw_latest_available,0.03602759912610054,0.052343882620334625,0.052343882620334625
19,37,0.12850619852542877,0.16080600023269653,0.052118346095085144,-0.0020925402641296387,forecast_load_mw_latest_available,da_as_nsr_mw_primary_reserve,0.052343882620334625,0.07638785243034363,0.07638785243034363
37,43,0.12497168034315109,0.15711402893066406,0.048583827912807465,0.0017752647399902344,da_as_nsr_mw_primary_reserve,gross_inadv_interchange_mw,0.07638785243034363,0.04868990182876587,0.07638785243034363
20,37,0.12454929947853088,0.15425443649291992,0.048161447048187256,-0.0021576881408691406,forecast_load_mw_day_ahead,da_as_nsr_mw_primary_reserve,0.04803933948278427,0.07638785243034363,0.07638785243034363
4,38,0.18972685933113098,0.26510095596313477,0.04605835676193237,-0.004498481750488281,gen_fuel_nuclear_mw,system_energy_price_da,0.03602759912610054,0.1436685025691986,0.1436685025691986
32,33,0.06675773113965988,0.13432401418685913,0.043523743748664856,0.027857184410095215,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.023233987390995026,0.014582937583327293,0.023233987390995026
31,33,0.06605542451143265,0.13171416521072388,0.04283052310347557,0.025508999824523926,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.023224901407957077,0.014582937583327293,0.023224901407957077
