g1,g2,confidential,single1,single2,pair,synergy
forecast_load_mw_latest_available,forecast_load_mw_day_ahead,metered_load_mw,0.302,0.261,0.762,0.46
gen_fuel_nuclear_mw,system_energy_price_da,da_as_total_mw_thirty_minutes_reserve,0.188,0.201,0.546,0.345
da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.348,0.316
da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.0,0.032,0.342,0.311
da_as_as_req_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.2,0.541,0.817,0.276
da_as_as_req_mw_primary_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.195,0.541,0.814,0.273
da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,0.0,0.0,0.237,0.237
gen_fuel_gas_mw,forecast_load_mw_latest_available,total_gen,0.036,0.253,0.435,0.182
gen_fuel_gas_mw,forecast_load_mw_day_ahead,total_gen,0.036,0.248,0.428,0.18
total_lmp_rt,marginal_loss_price_rt,congestion_price_rt,0.12,0.118,0.262,0.142
gen_fuel_nuclear_mw,forecast_load_mw_day_ahead,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.329,0.141
gen_fuel_nuclear_mw,forecast_load_mw_latest_available,da_as_total_mw_thirty_minutes_reserve,0.188,0.0,0.33,0.141
da_as_as_req_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve,0.0,0.541,0.68,0.139
gen_fuel_coal_mw,forecast_load_mw_latest_available,metered_load_mw,0.018,0.302,0.426,0.124
gen_fuel_nuclear_mw,marginal_loss_price_rt,total_losses,0.168,0.0,0.292,0.123
gen_fuel_coal_mw,forecast_load_mw_day_ahead,metered_load_mw,0.018,0.261,0.377,0.116
gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,da_as_total_mw_thirty_minutes_reserve,0.0,0.188,0.288,0.099
