source,target,raw_weight,normalized_weight,pearson,spearman,kendall,nmi,distance_corr,hsic
da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_primary_reserve,1.0,0.12469054013490677,1.0,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,1.0,0.20810379087924957,1.0,1.0,1.0,1.0,1.0,1.0
da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,1.0,0.12768448889255524,1.0,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,1.0,0.20810379087924957,1.0,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,1.0,0.22670553624629974,1.0,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.0,0.21147087216377258,1.0,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.0,0.21147087216377258,1.0,1.0,1.0,1.0,1.0,1.0
da_as_ss_mw_thirty_minutes_reserve,da_as_ss_mw_synchronized_reserve,1.0,0.22670553624629974,1.0,1.0,1.0,1.0,1.0,1.0
forecast_load_mw_latest_available,forecast_load_mw_day_ahead,0.9836013317108154,0.0653114914894104,0.9966243505477905,0.9960758686065674,0.9459701776504517,0.9853906035423279,0.9945434331893921,0.981846272945404
forecast_load_mw_day_ahead,forecast_load_mw_latest_available,0.9836013317108154,0.06666992604732513,0.9966243505477905,0.9960758686065674,0.9459701776504517,0.9853906035423279,0.9945434331893921,0.981846272945404
system_energy_price_da,total_lmp_da,0.9775551557540894,0.06879288703203201,0.992979884147644,0.9901285171508789,0.9288402199745178,1.0,0.9882221817970276,0.9658721685409546
total_lmp_da,system_energy_price_da,0.9775551557540894,0.06732913106679916,0.992979884147644,0.9901285171508789,0.9288402199745178,1.0,0.9882221817970276,0.9658721685409546
metered_load_mw,forecast_load_mw_latest_available,0.9758599400520325,0.06416849046945572,0.9962494969367981,0.9960373640060425,0.9439201951026917,0.9445571303367615,0.9938987493515015,0.9797198176383972
