confidential_field,model_r2,probe_r2,gap
total_gen,0.99143237,0.99832719588513,-0.006894827
metered_load_mw,0.99111235,0.9962878493933236,-0.0051754713
total_lmp_da,0.98597556,0.99047564583207,-0.004500091
da_as_total_mw_primary_reserve,0.95012796,0.953601669814596,-0.003473699
da_as_total_mw_synchronized_reserve,0.91778564,0.920000100798808,-0.0022144318
da_as_total_mw_thirty_minutes_reserve,0.8774532,0.9141437178213236,-0.036690533
total_losses,0.8656297,0.9334742413917716,-0.06784457
net_actual_interchange_mw,0.86522955,0.9295984627394396,-0.0643689
marginal_loss_price_da,0.8172597,0.8816090434068973,-0.06434929
gross_actual_interchange_mw,0.8005917,0.8759973140166133,-0.0754056
congestion_price_rt,0.66670763,0.6702083206524372,-0.0035007
congestion_price_da,0.65376675,0.6602494811248918,-0.0064827204
