k,seed,worst,mean
8,0,0.938884437084198,0.7477031350135803
8,1,0.943953275680542,0.752230703830719
8,2,0.9444197416305542,0.7634437680244446
12,0,0.9062595367431641,0.6412835717201233
12,1,0.9131451845169067,0.6412566900253296
12,2,0.9313883781433105,0.6473456025123596
16,0,0.9231075644493103,0.5679266452789307
16,1,0.9053974151611328,0.577106773853302
16,2,0.9288471937179565,0.5871888399124146
20,0,0.8605246543884277,0.47700580954551697
20,1,0.8459434509277344,0.46780791878700256
20,2,0.8798933625221252,0.4779532849788666
24,0,0.5700750350952148,0.35315975546836853
24,1,0.5703467130661011,0.34445008635520935
24,2,0.5926635265350342,0.36108946800231934
