prefix,tau1,tau2,jaccard
6,0.4,0.5,1.0
6,0.4,0.6,1.0
6,0.4,0.7,1.0
6,0.5,0.6,1.0
6,0.5,0.7,1.0
6,0.6,0.7,1.0
12,0.4,0.5,1.0
12,0.4,0.6,1.0
12,0.4,0.7,0.7142857142857143
12,0.5,0.6,1.0
12,0.5,0.7,0.7142857142857143
12,0.6,0.7,0.7142857142857143
18,0.4,0.5,0.8947368421052632
18,0.4,0.6,0.8
18,0.4,0.7,0.6190476190476191
18,0.5,0.6,0.7142857142857143
18,0.5,0.7,0.5454545454545454
18,0.6,0.7,0.7
