confidential_field,test_r2,test_mse,used_in_loss
da_as_total_mw_primary_reserve,0.9694817457348108,0.04225802794098854,True
metered_load_mw,0.9679496437311172,0.013873284682631493,True
total_gen,0.9474701136350632,0.0240356232970953,True
da_as_total_mw_synchronized_reserve,0.9361689388751984,0.053643204271793365,True
total_lmp_da,0.8803839981555939,0.052004773169755936,True
total_losses,0.701593428850174,0.2621101438999176,True
marginal_loss_price_da,0.4875299334526062,0.28102678060531616,True
da_as_total_mw_thirty_minutes_reserve,0.4335842728614807,0.4069688618183136,True
congestion_price_rt,0.3834214210510254,1.0088211297988892,True
congestion_price_da,0.22223055362701416,1.3202210664749146,True
gross_actual_interchange_mw,0.169808030128479,0.48531368374824524,True
net_actual_interchange_mw,-1.0167527198791504,1.5575525760650635,True
