encoder,mode,mean_r2,probe_mean
enc1_linear_noact,gcn_noprior,0.8525661031405131,0.8936644202397751
enc1_linear_noact,gcn_static,0.8535385181506475,0.8936644202397751
enc1_linear_noact,gcn_dynamic,0.8646235217650732,0.8936644202397751
enc1_linear_noact,gat_noprior,0.8244452029466629,0.8936644202397751
enc1_linear_noact,gat_static,0.8381951252619425,0.8936644202397751
enc1_linear_noact,gat_dynamic,0.847037469347318,0.8936644202397751
enc2_linear,gcn_noprior,0.8579415877660116,0.8936644202397751
enc2_linear,gcn_static,0.8652560462554296,0.8936644202397751
enc2_linear,gcn_dynamic,0.86666273077329,0.8936644202397751
enc2_linear,gat_noprior,0.8508807271718979,0.8936644202397751
enc2_linear,gat_static,0.853164330124855,0.8936644202397751
enc2_linear,gat_dynamic,0.8551961084206899,0.8936644202397751
enc3_mlp,gcn_noprior,0.8737019648154577,0.8936644202397751
enc3_mlp,gcn_static,0.8663568397363027,0.8936644202397751
enc3_mlp,gcn_dynamic,0.8746003905932108,0.8936644202397751
enc3_mlp,gat_noprior,0.8506190280119578,0.8936644202397751
enc3_mlp,gat_static,0.8522945543130239,0.8936644202397751
enc3_mlp,gat_dynamic,0.8727066765228907,0.8936644202397751
