confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9892694,0.9962878493933236,-0.007018447
total_gen,0.9884396,0.99832719588513,-0.009887576
total_lmp_da,0.9790588,0.99047564583207,-0.0114168525
da_as_total_mw_primary_reserve,0.9502438,0.953601669814596,-0.0033578873
da_as_total_mw_synchronized_reserve,0.91635334,0.920000100798808,-0.0036467314
da_as_total_mw_thirty_minutes_reserve,0.86907613,0.9141437178213236,-0.04506761
net_actual_interchange_mw,0.8594838,0.9295984627394396,-0.07011467
total_losses,0.85160846,0.9334742413917716,-0.08186579
gross_actual_interchange_mw,0.8025956,0.8759973140166133,-0.07340169
marginal_loss_price_da,0.80075717,0.8816090434068973,-0.08085185
congestion_price_da,0.65967226,0.6602494811248918,-0.0005772114
congestion_price_rt,0.62873983,0.6702083206524372,-0.0414685
