field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8503022789955139,-0.07929618374392566
gross_actual_interchange_mw,0.8759973140166133,0.772836446762085,-0.10316086725452833
total_gen,0.99832719588513,0.9891547560691833,-0.00917243981594662
metered_load_mw,0.9962878493933236,0.9899188280105591,-0.006369021382764517
total_losses,0.9334742413917716,0.8401896953582764,-0.09328454603349523
congestion_price_da,0.6602494811248918,0.6097772121429443,-0.050472268981947455
congestion_price_rt,0.6702083206524372,0.6576986908912659,-0.012509629761171315
marginal_loss_price_da,0.8816090434068973,0.7819046378135681,-0.09970440559332916
total_lmp_da,0.99047564583207,0.9821726679801941,-0.008302977851875948
da_as_total_mw_primary_reserve,0.953601669814596,0.9508253931999207,-0.002776276614675388
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9167515635490417,-0.003248537249766259
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8595830202102661,-0.05456069761105753
