source_key,output_field,expected_intervals_per_hour,hours_with_4_intervals,hours_with_1_to_3_intervals,hours_with_0_intervals
rt15_lmp,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_np15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_zp26_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__energy_usd_per_mwh__th_np15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__energy_usd_per_mwh__th_sp15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__energy_usd_per_mwh__th_zp26_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__ghg_usd_per_mwh__th_np15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__ghg_usd_per_mwh__th_sp15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__ghg_usd_per_mwh__th_zp26_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_sp15_gen_apnd,4,8760,0,0
rt15_lmp,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_zp26_gen_apnd,4,8760,0,0
