output_field,non_null_hours,missing_within_observed_hours,source_intervals,aggregation_rule
rtpd_eim_transfer__mw__export__ava__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__azps__mead230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__azps__nrthgila500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__azps__pvwest,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__azps__willowbeach,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__banc__ctw230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__banc__lake,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__banc__ranchoseco,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__banc__standiford,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__banc__tesla230,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__banc__westlytsla,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__bcha__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__bcha__nob,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__bpat__malin500,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
rtpd_eim_transfer__mw__export__bpat__nob,8735,24,35002,strict arithmetic mean of four distinct RTPD quarter-hours; incomplete groups are missing
