filename,bytes,sha256
README.md,1279,78cbefd69b8864cf455e0454cd74d5a9399b5d506d96588df7853459ad8646df
artifact_tool_csv_inspection.txt,1366,9a1584ac041af64c2db79f6886fb86873bb2b9a2bea1c3cb835b244e3cd90120
build_caiso_2025_augmented.py,36666,b16b17cde1c148c93b5ebde25030c4592fb35e43b12ca40af6e484ec07a59129
build_caiso_2025_hourly_original.py,31247,7c35b8c02a1a32e1413f30bdb7ea8dca1b065766e81540ae09e47a6ab5059ac4
caiso_2025_hourly_aligned_augmented.csv.gz,5283306,9e40c3d8d30c2e635ebe8740391dab4c4935d960e3d0b25863b33f0443ae3d57
caiso_tls_control_note.md,807,2dd3baa4e088580b835ceae0c42f89e0887b839025a738741e42a9568deb1d19
column_dictionary.csv,110596,6f5758b1131ba1b7a9be972262751f34b2ee522df99d2f736d75a5c10b6f5b30
column_validation_stats.csv,33777,58649b3c468b1c7de646057e0431b35da2a03e6dae0c96a39dd0c58f0066a144
field_official_mapping_and_explanations.md,100080,24e06dc9ad54d3bb88f13aafd446c996ea322f5804373409adfeb8cad0c12d16
interval_coverage_summary.csv,1299,a36be4ab470074cecf09731aa1bffac5718212be76339af7e7c8c86c26abd714
lmp_identity_validation.csv,577,589c005e804f578a8f5812711b5c1c90309cceadb732b853c0148a1c922fe0ef
raw_download_storage_and_traceability.md,662,648c25e3793e9ad3508c4eabf15bb430d29ce133a4c81327c8e173d37bc12e04
source_lineage.csv,1048,7403dc551452c6bac0d46050f814c4b00b92642c8bb86ab086d5bd26ce0d805d
source_manifest.csv,167131,e8ab5b83a3d55a4fe874917f17e3a038780575e649606f1bae74940cc3ebdde4
supplemental_interval_coverage.csv,10562,6eed13af4db839fd349bc21b780a101140a9da902472e744426e1e382f7fc8b0
supplemental_source_manifest.csv,70030,5eb106d4ac6ea9b2a6ab890ba80ec9d52959d1bb7f7c418649e8a69b4361f3dd
validate_csv_with_artifact_tool.mjs,1041,5c7f428c2319fb9c93a8b8d50ec0fdeeb6bd376cfb6db5286633619ed0f4ab46
validation_report.md,1534,76a50816c1ab6419d824f730f9bfb53a524fecc869fbb1c951082ca8c20240d1
validation_summary.json,897,c8fd30aeace5aa268805f50104e1fc3edf6944cdebd9841d21c831e9825ab1e4
