confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9915789,0.9962878493933236,-0.0047089458
total_gen,0.99123055,0.99832719588513,-0.007096648
total_lmp_da,0.98596853,0.99047564583207,-0.0045071244
da_as_total_mw_primary_reserve,0.952336,0.953601669814596,-0.001265645
da_as_total_mw_synchronized_reserve,0.9157127,0.920000100798808,-0.004287362
total_losses,0.87860256,0.9334742413917716,-0.05487168
da_as_total_mw_thirty_minutes_reserve,0.8746338,0.9141437178213236,-0.039509952
net_actual_interchange_mw,0.8697851,0.9295984627394396,-0.05981338
marginal_loss_price_da,0.7914665,0.8816090434068973,-0.09014255
gross_actual_interchange_mw,0.7871318,0.8759973140166133,-0.08886552
congestion_price_rt,0.6685914,0.6702083206524372,-0.0016169548
congestion_price_da,0.6461373,0.6602494811248918,-0.0141121745
