target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.19985665,0.19899844,0.19975236,0.2012045,0.20018807
gross_actual_interchange_mw,0.20000166,0.20000006,0.19999939,0.19999927,0.1999996
total_gen,0.1999792,0.20185052,0.20085092,0.19362552,0.20369376
metered_load_mw,0.19965756,0.20042746,0.20077005,0.19916244,0.1999825
total_losses,0.17150347,0.18130235,0.17730464,0.29392436,0.17596528
congestion_price_da,0.19084914,0.20434059,0.19842374,0.21336433,0.19302227
congestion_price_rt,0.20094988,0.20342128,0.2006034,0.19274391,0.20228145
marginal_loss_price_da,0.2116109,0.19845118,0.20019376,0.18218204,0.2075621
total_lmp_da,0.2198721,0.1860476,0.19803327,0.19579113,0.20025584
da_as_total_mw_primary_reserve,0.20922372,0.19545908,0.18702461,0.20895971,0.19933282
da_as_total_mw_synchronized_reserve,0.19590409,0.19536085,0.19326474,0.21981049,0.19565979
da_as_total_mw_thirty_minutes_reserve,0.2021838,0.20231262,0.19843735,0.19492468,0.20214148
