field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,0.7445811033248901,0.49639114731120565,True
gross_actual_interchange_mw,0.2460934792895835,0.7225507497787476,0.4764572704891641,True
total_gen,0.9906449538219424,0.9853847622871399,-0.005260191534802505,True
metered_load_mw,0.9762308832723112,0.9876540303230286,0.011423147050717342,True
total_losses,0.6540839836602339,0.7923828363418579,0.138298852681624,True
congestion_price_da,0.0475838272605031,0.4064147472381592,0.3588309199776561,True
congestion_price_rt,0.4561738508473963,0.5264910459518433,0.07031719510444695,True
marginal_loss_price_da,0.4407231017762543,0.7053754329681396,0.26465233119188536,True
total_lmp_da,0.9299314144617218,0.9745530486106873,0.04462163414896547,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9453476667404175,-0.02988015221734408,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9097076058387756,-0.03213550520687114,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.782991349697113,0.32608731169260896,True
