feature,gate,pearson,spearman,kendall,nmi,distance_corr,hsic
gen_fuel_coal_mw,0.7113581,0.7262866,0.69696313,0.5023749,0.16933008,0.6910403,0.3233959
marginal_loss_price_rt,0.6991448,0.37765464,0.5613836,0.39842904,0.81805384,0.51462007,0.19818883
forecast_load_mw_latest_available,0.69908017,0.6469289,0.7067348,0.47403908,0.14995736,0.62572604,0.2528974
forecast_load_mw_day_ahead,0.693641,0.6137578,0.6672217,0.47406307,0.12776597,0.62107277,0.2557925
gen_fuel_coal_pct,0.6882534,0.6513544,0.595838,0.44390905,0.12567417,0.6191135,0.22119246
gen_fuel_nuclear_mw,0.6805665,0.55234057,0.56205,0.42764544,0.18052235,0.57024527,0.22906265
gen_fuel_nuclear_pct,0.65566295,0.5030395,0.5368142,0.3484873,0.08173848,0.46205065,0.11208827
gen_fuel_gas_mw,0.6537748,0.45136258,0.5070668,0.35933498,0.08505641,0.476444,0.14205718
system_energy_price_da,0.6524137,0.4352993,0.49250484,0.3337442,0.17300396,0.4359855,0.12510483
gross_inadv_interchange_mw,0.64414036,0.48320743,0.4147017,0.31751543,0.06995887,0.45845556,0.10893913
total_lmp_rt,0.64193404,0.24961141,0.4188876,0.31282365,0.3015213,0.42058742,0.112534806
gen_fuel_other_renewables_pct,0.6337093,0.3914525,0.39268082,0.33191615,0.07430264,0.4028304,0.08515482
gen_fuel_other_renewables_mw,0.6088382,0.2693722,0.30299234,0.20180961,0.04975601,0.32893613,0.092760764
da_as_as_req_mw_synchronized_reserve,0.6073695,0.25126868,0.3269098,0.23785847,0.16778305,0.21527056,0.027633836
gen_fuel_oil_mw,0.6036541,0.32458508,0.20541617,0.14502518,0.10722756,0.3108103,0.06656489
da_as_as_req_mw_primary_reserve,0.60142213,0.1948946,0.2763549,0.23816234,0.16595817,0.22691017,0.031200597
da_as_as_req_mw_thirty_minutes_reserve,0.59734344,0.21973729,0.24762608,0.2187089,0.1332026,0.21827783,0.028361022
total_pjm_rmccp_cr,0.5934685,0.1139333,0.21387406,0.15497507,0.27025402,0.20527849,0.036409512
gen_fuel_wind_mw,0.5923221,0.23143147,0.21414532,0.16483127,0.029130809,0.27998823,0.05228973
rmccp,0.5904601,0.12748042,0.21215789,0.13907146,0.21427177,0.2171357,0.027776908
da_as_nsr_mw_primary_reserve,0.5901869,0.23949014,0.24043158,0.14119932,0.07367793,0.21072012,0.024157036
gen_fuel_oil_pct,0.5862514,0.2686413,0.12938875,0.1045911,0.07355306,0.25223145,0.04539539
gen_fuel_hydro_mw,0.5831069,0.1563554,0.19270511,0.15956351,0.042852446,0.22981462,0.04280582
total_pjm_reg_purchases,0.5824193,0.17760764,0.21065779,0.15534993,0.027836638,0.20655818,0.03150925
gen_fuel_solar_pct,0.58208203,0.23131424,0.15101424,0.1230707,0.048788756,0.21968566,0.031998713
gross_sched_interchange_mw,0.579068,0.24638537,0.20696789,0.0970883,0.012640327,0.16501261,0.015969615
total_pjm_assigned_reg,0.5789002,0.20387888,0.2179516,0.114240155,0.020837817,0.16789792,0.01814955
total_pjm_loc_credit,0.5765322,0.13954353,0.1350225,0.12165731,0.07018604,0.2198515,0.028373493
gen_fuel_solar_mw,0.5698833,0.16585955,0.12784407,0.089408614,0.028552031,0.17241837,0.018602528
gen_fuel_storage_mw,0.5666436,0.10369626,0.14439987,0.1278725,0.008837696,0.15279965,0.019412732
net_inadv_interchange_mw,0.5654062,0.12858276,0.1375534,0.098173,0.00600546,0.14799373,0.0122554265
gen_fuel_multiple_fuels_mw,0.56012785,0.08168533,0.09112202,0.059401147,0.037605416,0.14991786,0.025003837
gen_fuel_wind_pct,0.55974334,0.09298315,0.09323738,0.06253298,0.027380593,0.141078,0.022185877
da_as_mcp_synchronized_reserve,0.55934715,0.09920981,0.0682712,0.037408967,0.079831444,0.13133883,0.015619242
gen_fuel_hydro_pct,0.557049,0.044442277,0.08578479,0.07003795,0.05284008,0.1257744,0.020448612
da_as_ss_mw_thirty_minutes_reserve,0.5552493,0.072139345,0.073143385,0.04578534,0.042857744,0.11675759,0.016395537
da_as_ss_mw_primary_reserve,0.55334383,0.075846285,0.07496884,0.039474495,0.048387267,0.086309694,0.012131661
da_as_mcp_primary_reserve,0.553035,0.08680614,0.022719217,0.054882426,0.04595571,0.1143202,0.017461509
gen_fuel_gas_pct,0.5526317,0.017340232,0.052335396,0.06517789,0.024472667,0.14503784,0.025433337
da_as_ss_mw_synchronized_reserve,0.5524837,0.045646664,0.055000238,0.05151756,0.053988203,0.10725352,0.01311912
gen_fuel_multiple_fuels_pct,0.5494129,0.08357356,0.055040136,0.018510045,0.015252021,0.087080285,0.011834606
rmpcp,0.54808223,0.072172225,0.03508713,0.027679982,0.026649812,0.08808525,0.0036292227
total_pjm_self_sched_reg,0.54526895,0.011039228,0.04512196,0.037693407,0.020809492,0.08564579,0.00814669
total_pjm_rmpcp_cr,0.5435876,0.059497733,0.0014754375,0.007882374,0.035493825,0.07384875,0.0048979344
gen_fuel_storage_pct,0.53197724,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.53197724,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.53197724,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.53197724,0.0,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.53197724,0.0,0.0,0.0,0.0,0.0,0.0
