epoch,loss,test_r2
1,0.4497601637557217,0.25509192924148283
2,0.16399935752017314,0.32691214367465704
3,0.14520686477014463,0.30618084125053024
4,0.1357035990038963,0.33566789726767354
5,0.12547200057468458,0.4485179413293039
6,0.12052982337942951,0.4944885762256569
7,0.11476263648843112,0.46163177805622435
8,0.10626390777086014,0.487065175651353
9,0.10397048549701089,0.4221442760077949
10,0.09671052802166982,0.5399894639684986
11,0.09114311295285073,0.5012717036943226
12,0.08771593814298986,0.5010238263881368
13,0.08382988210818539,0.5598022556884374
14,0.07817635134066621,0.5585556545203831
15,0.077294462687893,0.5741237788993016
16,0.0737155089027261,0.5813957367795632
17,0.07013560195355655,0.5690968238189714
18,0.06846273057673076,0.5556237580053011
19,0.06450810953634514,0.5748501110408235
20,0.06336658323804538,0.5619470504913632
21,0.06130203199849281,0.5674439441760044
22,0.06012109352369287,0.49969033277429586
23,0.05719904848225585,0.5663220090511316
24,0.05648752858173357,0.5341469727236667
25,0.05570778129920023,0.5758974109529527
26,0.05306215613195885,0.5419178813410928
27,0.0529436939077018,0.5435255321829713
28,0.051922376552537154,0.556490847135932
29,0.04935422286255175,0.5616540751170134
30,0.04841720251596137,0.5315818196820875
31,0.047088822647588985,0.5703481645428512
32,0.04730364523794009,0.5371690656414982
33,0.04618303624054068,0.5948182814516609
34,0.04593328218141647,0.548067036787133
35,0.044961004275573445,0.5248139409418829
36,0.04497354222487097,0.5420253436478804
37,0.043721350666867,0.5889075091039732
38,0.044144229665738804,0.541904480120083
39,0.04106103826195138,0.5325517522961549
40,0.0422519445249207,0.5556937198914721
41,0.04195923135364981,0.5615381567476148
42,0.03913951478048002,0.4914225601926635
43,0.038898293949561576,0.532237660497795
44,0.03993437639926666,0.5508804145274158
45,0.03783010602949961,0.5338444348433452
46,0.0383544138475368,0.5085490168017888
47,0.03941717864647848,0.5225590999232166
48,0.036175514192886005,0.5138047418122096
49,0.036239662807281706,0.5203168884652805
50,0.03736139177323476,0.5389001792384467
51,0.03559688012621719,0.5552768515219377
52,0.03606435479638783,0.49620827093759534
53,0.03500526694402303,0.5174018511178775
54,0.03530831097467849,0.5263574364903483
55,0.03507453741582289,0.4942710320629088
56,0.03296067734083084,0.5372430709358773
57,0.032628680405007104,0.5075815044251049
58,0.03327710021576381,0.5174932994596044
59,0.032451906968673616,0.5415394797081605
60,0.03275345443624612,0.5457636901246097
61,0.032718070242639,0.5266098895016038
62,0.032068971042695654,0.47717691877393054
63,0.031220284090738862,0.5200846885174356
64,0.031015149253892572,0.5560682495091911
65,0.03274996159385601,0.5098671194952662
66,0.032585145097617146,0.4942870509583158
67,0.03145924058304802,0.5359305179214895
68,0.03083796782172434,0.5518055597225222
69,0.03044247904528766,0.5256655003241157
70,0.029753770976918472,0.47625614760227686
71,0.030335590005193126,0.5226207254399884
72,0.028653007528008936,0.5281619742707135
73,0.02943613710196595,0.5359371501994497
74,0.028901572054311566,0.47305052024878025
75,0.028532974370946623,0.4922424624044376
76,0.028235406848733827,0.3993662415814234
77,0.029176238669108037,0.519123870242359
78,0.02777778247549926,0.5085477003005712
79,0.028399406825979006,0.5442768845911601
80,0.02793931010174969,0.5018982232947562
81,0.027495054051824355,0.4704312472838078
82,0.02832261437218483,0.4315730947491664
83,0.027388972251518675,0.49578048348514037
84,0.027456767806043364,0.4915456353055909
85,0.02641659565525104,0.49560892072026874
86,0.02652779255555645,0.5045139172241047
87,0.026413350344792894,0.5548095277105164
88,0.02691602501082638,0.5030557997114313
89,0.026378710137586615,0.46676331479709177
90,0.027375032589451908,0.5068172832771003
91,0.026106502512070143,0.5000802809980085
92,0.025260693287332308,0.525517989642613
93,0.02492336167626457,0.4407193238566054
94,0.02546630420437142,0.49196997378456186
95,0.02537113527627024,0.45616545895876626
96,0.02468130984194747,0.45109828187506507
97,0.025370522457510914,0.4577292040264703
98,0.02601170408450169,0.4489482003722328
99,0.02504609011487874,0.3851899994661917
100,0.024836305367279814,0.45899401372116133
101,0.02404354806972421,0.4446202552386842
102,0.023156336683048506,0.4828406876953115
103,0.02283239863880965,0.46729397646358817
104,0.024456306432956428,0.45920286926870446
105,0.023960544306733837,0.4482179704480196
106,0.02333867459740813,0.47270687281017054
107,0.02352208908664309,0.4363495636786895
108,0.023475224483911306,0.4721777714709374
109,0.023446842823943048,0.492442212750274
110,0.023367668208602355,0.4588828492963195
111,0.023339611575960026,0.5109893870528117
112,0.023577884120279797,0.49020738883779724
113,0.02333446325028324,0.4747744757505997
114,0.02257551862666868,0.4531790590255692
115,0.023158199838511476,0.45508772159533595
116,0.02330934031777186,0.45083182625384854
117,0.023309426832961166,0.4426279555339858
118,0.022644911429177135,0.5116798457197876
119,0.021935977296878215,0.4414260195827179
120,0.02140382499982641,0.4707633353846352
121,0.02334438903112662,0.4575499829358225
122,0.021444718417239515,0.4474410091615826
123,0.021825504969788467,0.44629253050192363
124,0.020602844629998077,0.43227290124590567
125,0.020771372944252676,0.4445407193240076
126,0.021188994027572135,0.44795222386758937
127,0.022156119414660485,0.4430300393821248
128,0.021724754587224084,0.47187603450596605
129,0.021650609326417044,0.40920059058377745
130,0.021420612939756754,0.4707204974450083
131,0.020268431766868725,0.4216802663447089
132,0.02109766544850722,0.39550733670401794
133,0.021119292953038868,0.4322599043061579
134,0.021280917130648818,0.4495052920824514
135,0.020189096198574594,0.4380656837514565
136,0.020421103650882635,0.40146816999346424
137,0.020889893182676676,0.4392480438292127
138,0.019688499436530893,0.4815123796190267
139,0.019779574610803225,0.4418973509433385
140,0.020956909947403488,0.42854835825581516
141,0.020571100138570077,0.3874465692863892
142,0.019808837123317262,0.44570057835756294
143,0.02026849603237899,0.43215256651085365
144,0.019108296495322225,0.4421495535862111
145,0.01857453849183642,0.45469327184172326
