sid,group,size,K,conf,est
bt000,band_truth,5,0,net_actual_interchange_mw,0.0
bt000,band_truth,5,0,gross_actual_interchange_mw,0.0
bt000,band_truth,5,0,total_gen,0.21336418390274048
bt000,band_truth,5,0,metered_load_mw,0.3812434673309326
bt000,band_truth,5,0,total_losses,0.24643808603286743
bt000,band_truth,5,0,congestion_price_da,0.06095385551452637
bt000,band_truth,5,0,congestion_price_rt,0.0
bt000,band_truth,5,0,marginal_loss_price_da,0.23681366443634033
bt000,band_truth,5,0,total_lmp_da,0.20898133516311646
bt000,band_truth,5,0,da_as_total_mw_primary_reserve,0.0
bt000,band_truth,5,0,da_as_total_mw_synchronized_reserve,0.0
bt000,band_truth,5,0,da_as_total_mw_thirty_minutes_reserve,0.0077250003814697266
bt000,band_truth,5,10,net_actual_interchange_mw,0.16025203466415405
bt000,band_truth,5,10,gross_actual_interchange_mw,0.23472249507904053
bt000,band_truth,5,10,total_gen,0.939584493637085
bt000,band_truth,5,10,metered_load_mw,0.9495186805725098
bt000,band_truth,5,10,total_losses,0.4204598665237427
bt000,band_truth,5,10,congestion_price_da,0.1761617660522461
bt000,band_truth,5,10,congestion_price_rt,0.07353520393371582
bt000,band_truth,5,10,marginal_loss_price_da,0.37951457500457764
bt000,band_truth,5,10,total_lmp_da,0.5378887057304382
bt000,band_truth,5,10,da_as_total_mw_primary_reserve,0.13351112604141235
bt000,band_truth,5,10,da_as_total_mw_synchronized_reserve,0.09885591268539429
bt000,band_truth,5,10,da_as_total_mw_thirty_minutes_reserve,0.2540697455406189
bt000,band_truth,5,50,net_actual_interchange_mw,0.23940223455429077
bt000,band_truth,5,50,gross_actual_interchange_mw,0.2542819380760193
bt000,band_truth,5,50,total_gen,0.9544873237609863
bt000,band_truth,5,50,metered_load_mw,0.9631962180137634
bt000,band_truth,5,50,total_losses,0.4839392900466919
bt000,band_truth,5,50,congestion_price_da,0.1795160174369812
bt000,band_truth,5,50,congestion_price_rt,0.12628173828125
bt000,band_truth,5,50,marginal_loss_price_da,0.4681180715560913
bt000,band_truth,5,50,total_lmp_da,0.6392673254013062
bt000,band_truth,5,50,da_as_total_mw_primary_reserve,0.2058119773864746
bt000,band_truth,5,50,da_as_total_mw_synchronized_reserve,0.1466934084892273
bt000,band_truth,5,50,da_as_total_mw_thirty_minutes_reserve,0.396093487739563
bt000,band_truth,5,200,net_actual_interchange_mw,0.2973710894584656
bt000,band_truth,5,200,gross_actual_interchange_mw,0.2699301242828369
bt000,band_truth,5,200,total_gen,0.9675094485282898
bt000,band_truth,5,200,metered_load_mw,0.9771400690078735
bt000,band_truth,5,200,total_losses,0.5241125822067261
bt000,band_truth,5,200,congestion_price_da,0.18876558542251587
bt000,band_truth,5,200,congestion_price_rt,0.1447722315788269
bt000,band_truth,5,200,marginal_loss_price_da,0.5246284008026123
bt000,band_truth,5,200,total_lmp_da,0.6912142038345337
bt000,band_truth,5,200,da_as_total_mw_primary_reserve,0.22248327732086182
bt000,band_truth,5,200,da_as_total_mw_synchronized_reserve,0.17588675022125244
bt000,band_truth,5,200,da_as_total_mw_thirty_minutes_reserve,0.4201388955116272
bt001,band_truth,5,0,net_actual_interchange_mw,0.0
bt001,band_truth,5,0,gross_actual_interchange_mw,0.0
bt001,band_truth,5,0,total_gen,0.4689193367958069
bt001,band_truth,5,0,metered_load_mw,0.3632240295410156
bt001,band_truth,5,0,total_losses,0.00761336088180542
bt001,band_truth,5,0,congestion_price_da,0.0
bt001,band_truth,5,0,congestion_price_rt,0.0
bt001,band_truth,5,0,marginal_loss_price_da,0.0
bt001,band_truth,5,0,total_lmp_da,0.0945771336555481
