sid,group,size,band,conf,truth
p00_04,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.5481968522071838
p00_04,pair,2,1-2,gross_actual_interchange_mw,0.2268851995468139
p00_04,pair,2,1-2,marginal_loss_price_da,0.473238468170166
p00_04,pair,2,1-2,metered_load_mw,0.8026067614555359
p00_04,pair,2,1-2,net_actual_interchange_mw,0.4115382432937622
p00_04,pair,2,1-2,total_gen,0.8323788642883301
p00_04,pair,2,1-2,total_lmp_da,0.5362275838851929
p00_04,pair,2,1-2,total_losses,0.6330469846725464
p00_05,pair,2,1-2,congestion_price_da,0.2057442665100097
p00_05,pair,2,1-2,congestion_price_rt,0.1365443468093872
p00_05,pair,2,1-2,da_as_total_mw_primary_reserve,0.1382324695587158
p00_05,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1361393928527832
p00_05,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.3860786557197571
p00_05,pair,2,1-2,gross_actual_interchange_mw,0.1535856127738952
p00_05,pair,2,1-2,marginal_loss_price_da,0.540367603302002
p00_05,pair,2,1-2,metered_load_mw,0.8456518650054932
p00_05,pair,2,1-2,net_actual_interchange_mw,0.2453236579895019
p00_05,pair,2,1-2,total_gen,0.8464699387550354
p00_05,pair,2,1-2,total_lmp_da,0.7030383944511414
p00_05,pair,2,1-2,total_losses,0.5563997626304626
p00_06,pair,2,1-2,congestion_price_da,0.1187409162521362
p00_06,pair,2,1-2,congestion_price_rt,0.0604552030563354
p00_06,pair,2,1-2,da_as_total_mw_primary_reserve,0.1419150233268737
p00_06,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1333064436912536
p00_06,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2561356425285339
p00_06,pair,2,1-2,gross_actual_interchange_mw,0.1838071346282959
p00_06,pair,2,1-2,marginal_loss_price_da,0.3732752799987793
p00_06,pair,2,1-2,metered_load_mw,0.7591387629508972
p00_06,pair,2,1-2,net_actual_interchange_mw,0.2660852074623108
p00_06,pair,2,1-2,total_gen,0.779238224029541
p00_06,pair,2,1-2,total_lmp_da,0.4539452195167541
p00_06,pair,2,1-2,total_losses,0.5569307804107666
p00_07,pair,2,1-2,congestion_price_da,0.0956798195838928
p00_07,pair,2,1-2,congestion_price_rt,0.0504538416862487
p00_07,pair,2,1-2,da_as_total_mw_primary_reserve,0.1002008318901062
p00_07,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1140369772911071
p00_07,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1432233452796936
p00_07,pair,2,1-2,gross_actual_interchange_mw,0.2550649046897888
p00_07,pair,2,1-2,marginal_loss_price_da,0.4104332327842712
p00_07,pair,2,1-2,metered_load_mw,0.7887797951698303
p00_07,pair,2,1-2,net_actual_interchange_mw,0.211484670639038
p00_07,pair,2,1-2,total_gen,0.8029279708862305
p00_07,pair,2,1-2,total_lmp_da,0.4436644911766052
p00_07,pair,2,1-2,total_losses,0.5502437353134155
p00_08,pair,2,1-2,congestion_price_da,0.1235859990119934
p00_08,pair,2,1-2,congestion_price_rt,0.0846378803253173
p00_08,pair,2,1-2,da_as_total_mw_primary_reserve,0.1260627508163452
p00_08,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1176898479461669
p00_08,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1840529441833496
p00_08,pair,2,1-2,gross_actual_interchange_mw,0.1746420264244079
p00_08,pair,2,1-2,marginal_loss_price_da,0.4171009063720703
p00_08,pair,2,1-2,metered_load_mw,0.7788681983947754
p00_08,pair,2,1-2,net_actual_interchange_mw,0.2058896422386169
p00_08,pair,2,1-2,total_gen,0.7865832448005676
p00_08,pair,2,1-2,total_lmp_da,0.4962337613105774
p00_08,pair,2,1-2,total_losses,0.5129292011260986
p00_09,pair,2,1-2,congestion_price_da,0.1207424998283386
p00_09,pair,2,1-2,congestion_price_rt,0.0515618920326232
p00_09,pair,2,1-2,da_as_total_mw_primary_reserve,0.1304113268852234
p00_09,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1303068399429321
p00_09,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1942478418350219
p00_09,pair,2,1-2,gross_actual_interchange_mw,0.1620858907699585
p00_09,pair,2,1-2,marginal_loss_price_da,0.3801534175872803
p00_09,pair,2,1-2,metered_load_mw,0.7771584987640381
p00_09,pair,2,1-2,net_actual_interchange_mw,0.2220272421836853
p00_09,pair,2,1-2,total_gen,0.7940526008605957
p00_09,pair,2,1-2,total_lmp_da,0.4475311636924743
p00_09,pair,2,1-2,total_losses,0.6610863208770752
p00_10,pair,2,1-2,congestion_price_da,0.1405167579650879
p00_10,pair,2,1-2,congestion_price_rt,0.1063549518585205
p00_10,pair,2,1-2,da_as_total_mw_primary_reserve,0.1883537769317627
p00_10,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1731700897216797
p00_10,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.4096642136573791
p00_10,pair,2,1-2,gross_actual_interchange_mw,0.1891980767250061
p00_10,pair,2,1-2,marginal_loss_price_da,0.5112072825431824
p00_10,pair,2,1-2,metered_load_mw,0.974520206451416
p00_10,pair,2,1-2,net_actual_interchange_mw,0.2771430015563965
p00_10,pair,2,1-2,total_gen,0.9946751594543456
p00_10,pair,2,1-2,total_lmp_da,0.6312861442565918
p00_10,pair,2,1-2,total_losses,0.5622063875198364
p00_11,pair,2,1-2,congestion_price_da,0.1244732737541198
p00_11,pair,2,1-2,congestion_price_rt,0.0779381990432739
p00_11,pair,2,1-2,da_as_total_mw_primary_reserve,0.141842246055603
p00_11,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1757738590240478
p00_11,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2653262615203857
p00_11,pair,2,1-2,gross_actual_interchange_mw,0.1947911977767944
p00_11,pair,2,1-2,marginal_loss_price_da,0.4212977290153503
p00_11,pair,2,1-2,metered_load_mw,0.8192688226699829
p00_11,pair,2,1-2,net_actual_interchange_mw,0.2280108332633972
p00_11,pair,2,1-2,total_gen,0.8395098447799683
p00_11,pair,2,1-2,total_lmp_da,0.5069206953048706
p00_11,pair,2,1-2,total_losses,0.5862419605255127
p00_12,pair,2,1-2,congestion_price_da,0.1364930272102356
p00_12,pair,2,1-2,congestion_price_rt,0.0705941319465637
p00_12,pair,2,1-2,da_as_total_mw_primary_reserve,0.1911047101020813
p00_12,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1913669109344482
p00_12,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2581081986427307
p00_12,pair,2,1-2,gross_actual_interchange_mw,0.1706659793853759
p00_12,pair,2,1-2,marginal_loss_price_da,0.4517408609390259
p00_12,pair,2,1-2,metered_load_mw,0.8079562187194824
p00_12,pair,2,1-2,net_actual_interchange_mw,0.2029475569725036
p00_12,pair,2,1-2,total_gen,0.8144147396087646
p00_12,pair,2,1-2,total_lmp_da,0.5184407830238342
p00_12,pair,2,1-2,total_losses,0.5186874866485596
p00_13,pair,2,1-2,congestion_price_da,0.1328023672103881
p00_13,pair,2,1-2,congestion_price_rt,0.142397403717041
p00_13,pair,2,1-2,da_as_total_mw_primary_reserve,0.1825498938560485
p00_13,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1504176259040832
p00_13,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.3995610475540161
p00_13,pair,2,1-2,gross_actual_interchange_mw,0.1836342811584472
p00_13,pair,2,1-2,marginal_loss_price_da,0.4615362882614136
p00_13,pair,2,1-2,metered_load_mw,0.8032196164131165
p00_13,pair,2,1-2,net_actual_interchange_mw,0.3576397895812988
p00_13,pair,2,1-2,total_gen,0.8123301267623901
p00_13,pair,2,1-2,total_lmp_da,0.5410916805267334
p00_13,pair,2,1-2,total_losses,0.5739467144012451
p00_14,pair,2,1-2,congestion_price_da,0.1424922347068786
p00_14,pair,2,1-2,congestion_price_rt,0.1139429807662963
p00_14,pair,2,1-2,da_as_total_mw_primary_reserve,0.1155043244361877
p00_14,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1523759961128235
p00_14,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.4185510873794555
p00_14,pair,2,1-2,gross_actual_interchange_mw,0.1761714220046997
p00_14,pair,2,1-2,marginal_loss_price_da,0.4949997663497925
p00_14,pair,2,1-2,metered_load_mw,0.9194422960281372
p00_14,pair,2,1-2,net_actual_interchange_mw,0.2050266861915588
p00_14,pair,2,1-2,total_gen,0.9206953048706056
p00_14,pair,2,1-2,total_lmp_da,0.6293382048606873
p00_14,pair,2,1-2,total_losses,0.5679358243942261
p00_15,pair,2,1-2,congestion_price_da,0.2122934460639953
p00_15,pair,2,1-2,congestion_price_rt,0.1338418126106262
p00_15,pair,2,1-2,da_as_total_mw_primary_reserve,0.1471243500709533
p00_15,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1299070119857788
p00_15,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.3750365972518921
p00_15,pair,2,1-2,gross_actual_interchange_mw,0.1548864841461181
p00_15,pair,2,1-2,marginal_loss_price_da,0.5269192457199097
p00_15,pair,2,1-2,metered_load_mw,0.8293690085411072
p00_15,pair,2,1-2,net_actual_interchange_mw,0.253771424293518
p00_15,pair,2,1-2,total_gen,0.8320835828781128
p00_15,pair,2,1-2,total_lmp_da,0.6825962662696838
p00_15,pair,2,1-2,total_losses,0.5632925033569336
p00_16,pair,2,1-2,congestion_price_da,0.1029258966445922
p00_16,pair,2,1-2,congestion_price_rt,0.0807607173919677
p00_16,pair,2,1-2,da_as_total_mw_primary_reserve,0.1273585557937622
p00_16,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1613026857376098
p00_16,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1882683038711547
p00_16,pair,2,1-2,gross_actual_interchange_mw,0.1734975576400756
p00_16,pair,2,1-2,marginal_loss_price_da,0.4178841114044189
p00_16,pair,2,1-2,metered_load_mw,0.8161511421203613
p00_16,pair,2,1-2,net_actual_interchange_mw,0.2097468376159668
p00_16,pair,2,1-2,total_gen,0.824470043182373
p00_16,pair,2,1-2,total_lmp_da,0.4138548970222473
p00_16,pair,2,1-2,total_losses,0.5197253823280334
