scheme,seed,r2_full,epochs_run,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,mae_扫描|S|<=3,mae_中段4-12,mae_防护|S|>=13,band_1-2,band_3-4,band_5-8,band_9-16,band_17-32,band_33-44,syn_n,syn_rho,syn_top20,syn_top50,syn_top10_medrank,syn_fp_rate
bern50,0,0.7825590968132019,356,0.09571866516194065,0.9373881265667265,0.05045696549344486,0.97652997132322,0.028403479246621205,0.9891708212978184,0.016343272822182595,0.9963154512704698,0.09613148687496327,0.11844635973522319,0.07825062436362108,0.08465655752103336,0.12448928836525626,0.12409681838118669,0.10707656430954836,0.07092312971750896,0.0681851327419281,11352,0.4497511888555,0.3,0.58,7518.0,0.0008283288465520812
bern50,1,0.7900741100311279,400,0.09698399957490048,0.930152997993302,0.046847070304144256,0.9766095758313993,0.02812127225958252,0.9892800734188377,0.01570506945138958,0.9962816041532966,0.09780564906000948,0.12120114948915604,0.07395216474930445,0.08552484224842052,0.12811966385330048,0.12845645235343414,0.10700750077257351,0.06551347357722428,0.062476305787762004,11352,0.4721198427723507,0.3,0.54,7989.25,0.0002070822116380203
bern50,2,0.769585907459259,348,0.10203187003126604,0.9234222071647933,0.049956311514308,0.9753078853101346,0.029827023359951636,0.9885507471433367,0.01580006326351775,0.9959114941657204,0.10260754978167573,0.1254222156544823,0.08230876728064485,0.09036712602834508,0.1328580917934527,0.13179864124818283,0.11167535864982475,0.07212320562356557,0.07602595277130604,11352,0.4502299708499763,0.35,0.56,7346.0,0.0004141644232760406
large50,0,0.8525343537330627,400,0.0769179182098753,0.9531599289394653,0.04848109282452342,0.9770109685850676,0.028262103401918703,0.988909884769333,0.016620389549865337,0.9959022746665199,0.07632661871710411,0.10958322993854978,0.06552407745685843,0.06450705528259278,0.10547017478883415,0.11211052988514755,0.10939294829660533,0.06859094286576295,0.030181686704357464,11352,0.6000052345719676,0.35,0.58,9514.0,0.0
large50,1,0.8463324904441833,372,0.0703530206980086,0.9630478711394858,0.04620129653834147,0.9768288959542677,0.02933477380591903,0.9888490516900293,0.016481523299605512,0.9960575808846194,0.06863551121808541,0.10832001654366355,0.06903495358096229,0.05622477649337916,0.09933939400258306,0.10807317292148416,0.11390344322133227,0.07267342536495282,0.03158071128030618,11352,0.6378958480985878,0.3,0.54,9620.75,0.0
large50,2,0.8348009586334229,268,0.070511526877278,0.9610405994975177,0.04882696615106563,0.9769635725087972,0.031032867414495464,0.9882592504793735,0.017050171356061995,0.9954866608582464,0.06805808032219834,0.11045050932400262,0.07661090555290381,0.05544420897659629,0.09924835410102248,0.11053912714123726,0.1176320590129515,0.07999650513132413,0.0412574681142966,11352,0.6408855969438436,0.35,0.6,11097.0,0.0
logunif,0,0.770542323589325,210,0.061313675640878945,0.9698008372327289,0.05018992440589087,0.9786555142615772,0.031028819120727014,0.9889364090346652,0.020044169084573963,0.9953095798766298,0.053635701937643436,0.1105362341475131,0.12270362608962589,0.04103131329872793,0.08481727295236992,0.10235117048476682,0.14006423301437274,0.12690202977794868,0.10080304307242234,11352,0.7227945385991511,0.3,0.6,10551.5,0.0
logunif,1,0.7895479202270508,357,0.05794384897499016,0.9732180340061772,0.044288469261021784,0.9805477035006988,0.029494415773252142,0.9897218944554783,0.017724493165483128,0.9960405796899848,0.05146878266509042,0.10529329920586068,0.10645596513317691,0.03948724024524592,0.08110455439076855,0.09899859875440598,0.12827190969671523,0.11089694633697852,0.08240771753092607,11352,0.728954382259079,0.35,0.58,6809.0,0.0
logunif,2,0.7932004928588867,400,0.060016329739047386,0.9690616627331445,0.04590380666446565,0.9800979190843658,0.029782741373111755,0.9895109550502181,0.017019341225450617,0.996046479816131,0.053887919117170245,0.10671995758120693,0.10487649047540294,0.04182084441084653,0.08372544438414839,0.10064339513580005,0.1294131720958113,0.10908865517912766,0.07917579039931297,11352,0.7234528242918684,0.35,0.58,8449.0,0.0
none,0,0.8827925324440002,352,0.23060874811447715,0.7206768920637281,0.08175699224036861,0.9550323413626615,0.03585814217865064,0.9868752116067092,0.018949371077082482,0.9954745307661114,0.21933657887501484,0.3974580415594044,0.2679265848878357,0.18644217783553832,0.3014094988604139,0.38756870117151376,0.42496804893016815,0.31175977774919605,0.09771140590310097,11352,0.01419014089330892,0.2,0.22,5181.5,0.004555808656036446
