kind,small,mid,large,t1,t2,n_seed,mae_扫描|S|<=3,mae_中段4-12,mae_防护|S|>=13,K0_mae,三区间全不劣
三路,logunif,uniform,large50,4,12,3,0.052997467906634704,0.10186010779531836,0.07038997886357484,0.05639905305090794,True
三路,logunif,uniform,large50,3,12,3,0.052997467906634704,0.10187490939303219,0.07038997886357484,0.056399682306648304,True
三路,logunif,uniform,large50,4,16,3,0.052997467906634704,0.10186010779531836,0.0706354887397201,0.05641774669629971,True
三路,logunif,uniform,large50,3,16,3,0.052997467906634704,0.10187490939303219,0.0706354887397201,0.05641837595204008,True
三路,logunif,uniform,large50,4,8,3,0.052997467906634704,0.10238800510442869,0.07038997886357484,0.05642149538574955,False
三路,logunif,uniform,large50,3,8,3,0.052997467906634704,0.10240280670214252,0.07038997886357484,0.05642212464148993,False
两路,logunif,-,large50,8,8,3,0.052997467906634704,0.10280234899192701,0.07038997886357484,0.05643911025913939,False
两路,logunif,-,large50,6,6,3,0.052997467906634704,0.10406142836482964,0.07038997886357484,0.05649263711065239,False
两路,logunif,-,large50,12,12,3,0.052997467906634704,0.10751649697819358,0.07038997886357484,0.05663952137276875,False
两路,logunif,-,large50,4,4,3,0.052997467906634704,0.10909143001285952,0.07038997886357484,0.05670647601320188,False
两路,logunif,-,large50,3,3,3,0.052997467906634704,0.10945125193540532,0.07038997886357484,0.056721773011178124,False
两路,logunif,-,uniform,6,6,3,0.052997467906634704,0.10071166450309121,0.0773993638102655,0.05688393915054224,True
两路,logunif,-,uniform,4,4,3,0.052997467906634704,0.10186010779531836,0.0773993638102655,0.056932762564615345,True
两路,logunif,-,uniform,3,3,3,0.052997467906634704,0.10187490939303219,0.0773993638102655,0.05693339182035573,True
两路,logunif,-,uniform,8,8,3,0.052997467906634704,0.1022744516828167,0.0773993638102655,0.056950377438005184,False
两路,logunif,-,large50,16,16,3,0.052997467906634704,0.10751649697819358,0.0754918638754774,0.057027989774690264,False
两路,logunif,-,uniform,12,12,3,0.052997467906634704,0.10751649697819358,0.0773993638102655,0.05717323088647616,False
两路,logunif,-,uniform,16,16,3,0.052997467906634704,0.10751649697819358,0.08225573894602281,0.05754300564300591,False
三路,small50,uniform,large50,3,12,3,0.054969449064396124,0.10187490939303219,0.07038997886357484,0.05813767839048753,True
三路,small50,uniform,large50,4,12,3,0.054969449064396124,0.10213005078174976,0.07038997886357484,0.058148525137342914,False
三路,small50,uniform,large50,3,16,3,0.054969449064396124,0.10187490939303219,0.0706354887397201,0.05815637203587931,True
三路,small50,uniform,large50,3,8,3,0.054969449064396124,0.10240280670214252,0.07038997886357484,0.05816012072532915,False
三路,small50,uniform,large50,4,16,3,0.054969449064396124,0.10213005078174976,0.0706354887397201,0.05816721878273468,False
三路,small50,uniform,large50,4,8,3,0.054969449064396124,0.1026579480908601,0.07038997886357484,0.05817096747218453,False
三路,small80,uniform,large50,3,12,3,0.05521494306909419,0.10187490939303219,0.07038997886357484,0.058354043347673835,True
三路,small80,uniform,large50,4,12,3,0.05521494306909419,0.10228277241214985,0.07038997886357484,0.05837138270191298,False
三路,small80,uniform,large50,3,16,3,0.05521494306909419,0.10187490939303219,0.0706354887397201,0.05837273699306561,True
三路,small80,uniform,large50,3,8,3,0.05521494306909419,0.10240280670214252,0.07038997886357484,0.05837648568251546,False
两路,small50,-,large50,6,6,3,0.054969449064396124,0.10761144366825794,0.07038997886357484,0.05838155389584294,False
三路,small80,uniform,large50,4,16,3,0.05521494306909419,0.10228277241214985,0.0706354887397201,0.058390076347304753,False
三路,small80,uniform,large50,4,8,3,0.05521494306909419,0.1028106697212602,0.07038997886357484,0.0583938250367546,False
两路,small50,-,large50,4,4,3,0.054969449064396124,0.10936137299929093,0.07038997886357484,0.058455948099636855,False
两路,small50,-,large50,8,8,3,0.054969449064396124,0.10944953990812918,0.07038997886357484,0.05845969631213188,False
两路,small50,-,large50,3,3,3,0.054969449064396124,0.10945125193540532,0.07038997886357484,0.05845976909501736,False
