epoch,train_loss,test_loss
1,0.8843515334396379,0.8438051342964172
2,0.7510790634607276,0.8133448362350464
3,0.7344547834731987,0.7959922552108765
4,0.7188849896225022,0.7829084396362305
5,0.7102589150819677,0.7788885831832886
6,0.7005228708969219,0.7769765853881836
7,0.6990242340019727,0.7993558645248413
8,0.6939990633348152,0.7889217734336853
9,0.6892173612629517,0.7833240032196045
10,0.6889943964316658,0.7962823510169983
11,0.6877209762390155,0.7851901650428772
12,0.6828069229951012,0.7887410521507263
13,0.6816229144455067,0.8110878467559814
14,0.6797928362532778,0.8006333112716675
15,0.6789627601103368,0.7973629236221313
16,0.6779784490454818,0.8106375932693481
17,0.6756987647829453,0.7963406443595886
18,0.6694193394855883,0.7987973690032959
19,0.6677348439821779,0.8108835816383362
20,0.6670954868564368,0.8075007796287537
21,0.6664158119618127,0.8195520043373108
22,0.6641338429151732,0.7972113490104675
23,0.6657061692441723,0.8350275754928589
24,0.6610710517880599,0.8145593404769897
25,0.6596345535470759,0.8033677935600281
26,0.6573729654443267,0.8068416714668274
