target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.20292206,0.19889575,0.1965877,0.20171066,0.1998838
gross_actual_interchange_mw,0.19962554,0.2004326,0.20013307,0.2000202,0.19978854
total_gen,0.06454956,0.070046775,0.1111858,0.68821585,0.06600199
metered_load_mw,0.06987986,0.06652231,0.11198775,0.68665516,0.06495495
total_losses,0.15703253,0.12512803,0.12007934,0.46803087,0.1297292
congestion_price_da,0.16164866,0.2848914,0.29261303,0.123459406,0.13738756
congestion_price_rt,0.10902593,0.14326294,0.1647905,0.25983515,0.32308558
marginal_loss_price_da,0.15060614,0.22531581,0.21843638,0.114768274,0.2908734
total_lmp_da,0.40408254,0.079836555,0.14674719,0.27170193,0.09763172
da_as_total_mw_primary_reserve,0.57914275,0.09724273,0.102149785,0.11182049,0.10964423
da_as_total_mw_synchronized_reserve,0.060116794,0.057214692,0.06478078,0.7563779,0.06150983
da_as_total_mw_thirty_minutes_reserve,0.23557109,0.22268727,0.19591403,0.13166814,0.21415947
