confidential_field,test_r2,test_mse,used_in_loss
da_as_total_mw_primary_reserve,0.9702162612229586,0.04118125140666962,True
metered_load_mw,0.9551156833767891,0.019408365711569786,True
da_as_total_mw_synchronized_reserve,0.934362530708313,0.05528176948428154,True
total_lmp_da,0.9063585996627808,0.040669381618499756,True
total_gen,0.9050096645951271,0.04345173388719559,True
total_losses,0.657374918460846,0.30079400539398193,True
congestion_price_rt,0.47266918420791626,0.8618202209472656,True
marginal_loss_price_da,0.46701210737228394,0.2919146716594696,True
da_as_total_mw_thirty_minutes_reserve,0.37754642963409424,0.44669264554977417,True
congestion_price_da,0.21716678142547607,1.3268237113952637,True
gross_actual_interchange_mw,-0.5567127466201782,0.9089015126228333,False
net_actual_interchange_mw,-1.9254083633422852,2.2747650146484375,False
