confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9852158427238464,0.015424099750816822,True
total_gen,0.9818743467330933,0.019094590097665787,True
total_lmp_da,0.9694585204124451,0.03491460159420967,True
da_as_total_mw_primary_reserve,0.9490901827812195,0.053474728018045425,True
da_as_total_mw_synchronized_reserve,0.9094537496566772,0.09342215210199356,True
total_losses,0.7825357913970947,0.2171136438846588,True
da_as_total_mw_thirty_minutes_reserve,0.7511717081069946,0.25869014859199524,True
marginal_loss_price_da,0.7393921613693237,0.2561596632003784,True
gross_actual_interchange_mw,0.7088049650192261,0.30341917276382446,True
net_actual_interchange_mw,0.6394345164299011,0.36566784977912903,True
congestion_price_rt,0.5601037740707397,0.49214157462120056,True
congestion_price_da,0.31623178720474243,0.742837131023407,True
