待跑 989 个重训（已跳过完成的）
  [05:30:48] 50/990 done (p00_06)
  [05:36:10] 100/990 done (p01_14)
  [05:41:34] 150/990 done (p02_23)
  [05:47:17] 200/990 done (p03_33)
  [05:52:59] 250/990 done (p05_06)
  [05:58:38] 300/990 done (p06_19)
  [06:04:00] 350/990 done (p07_34)
  [06:09:12] 400/990 done (p09_14)
  [06:14:25] 450/990 done (p10_31)
  [06:19:46] 500/990 done (p12_18)
  [06:25:25] 550/990 done (p13_39)
  [06:30:59] 600/990 done (p15_31)
  [06:35:59] 650/990 done (p17_28)
  [06:40:59] 700/990 done (p19_30)
  [06:46:18] 750/990 done (p21_35)
  [06:51:15] 800/990 done (p24_25)
  [06:56:43] 850/990 done (p26_40)
  [07:01:49] 900/990 done (p30_32)
  [07:07:19] 950/990 done (p34_40)

全部完成：989，用时 6335s
