feature,gate,pearson,spearman,kendall,nmi,distance_corr
forecast_load_mw_latest_available,0.73787594,0.98592347,0.98221636,0.88450557,0.6669223,0.97890955
forecast_load_mw_day_ahead,0.73580414,0.98305655,0.9771652,0.872542,0.64645475,0.9782016
gen_fuel_nuclear_pct,0.7040049,0.9127434,0.8872527,0.7227446,0.44384116,0.8841701
gen_fuel_gas_mw,0.7012528,0.92016196,0.89766043,0.7250088,0.36284927,0.8897501
gen_fuel_coal_mw,0.67789626,0.8425804,0.8189847,0.6282289,0.2586223,0.82970446
gen_fuel_other_renewables_pct,0.64710104,0.7044673,0.68570375,0.5403115,0.2809022,0.64088947
total_lmp_rt,0.64130217,0.36949143,0.5432151,0.40275785,0.97961324,0.51544976
marginal_loss_price_rt,0.6277995,0.43444774,0.57472485,0.4334861,0.5559228,0.56154805
gen_fuel_oil_mw,0.6245238,0.6743237,0.5362524,0.38980064,0.2614108,0.6282076
system_energy_price_da,0.62289095,0.5953379,0.5928987,0.42333856,0.2632683,0.5859552
gen_fuel_nuclear_mw,0.62032986,0.5826221,0.6148748,0.4130145,0.17652848,0.63057363
gen_fuel_coal_pct,0.60882044,0.5665004,0.59003395,0.38522568,0.12216851,0.5636945
gen_fuel_oil_pct,0.59861416,0.60338247,0.42955285,0.30941364,0.18472347,0.5442183
gross_inadv_interchange_mw,0.57572514,0.4573752,0.43329474,0.30296913,0.060656555,0.44710165
gen_fuel_hydro_mw,0.5735205,0.49888608,0.3952186,0.26575586,0.09320278,0.41629276
gen_fuel_gas_pct,0.56588256,0.41687968,0.42069867,0.27149695,0.0658782,0.37300712
da_as_as_req_mw_primary_reserve,0.5540287,0.329052,0.32585585,0.25898454,0.13014136,0.32313484
da_as_as_req_mw_thirty_minutes_reserve,0.55377144,0.32731882,0.32288444,0.25335723,0.14255665,0.31810263
gen_fuel_multiple_fuels_mw,0.5530017,0.38276592,0.30143505,0.22459947,0.057342745,0.38545436
da_as_as_req_mw_synchronized_reserve,0.5494476,0.32377052,0.3210705,0.22866525,0.12163189,0.30249348
gen_fuel_wind_pct,0.5472189,0.33997795,0.32494608,0.23036991,0.050957974,0.31264994
da_as_mcp_synchronized_reserve,0.54534507,0.2913575,0.16270448,0.15052433,0.3602306,0.28928992
gen_fuel_other_renewables_mw,0.5431028,0.30521655,0.329727,0.20450447,0.042816248,0.31606942
da_as_mcp_primary_reserve,0.53332144,0.28970066,0.17753415,0.118093766,0.21583198,0.26076174
gross_sched_interchange_mw,0.5319025,0.28613976,0.2754114,0.18106756,0.020461757,0.26057515
total_pjm_rmccp_cr,0.52983284,0.086302936,0.19068949,0.1266068,0.41308028,0.20492202
gen_fuel_storage_mw,0.52893364,0.2311531,0.25243333,0.20343049,0.051403526,0.23929031
gen_fuel_hydro_pct,0.5284493,0.2667548,0.22467044,0.1553582,0.058229495,0.27056068
total_pjm_loc_credit,0.52163,0.18596378,0.23929954,0.15518807,0.10910041,0.18211709
da_as_nsr_mw_primary_reserve,0.52062833,0.16926861,0.21863626,0.15824446,0.096215785,0.21459138
total_pjm_reg_purchases,0.5176957,0.18610737,0.19493893,0.15147345,0.03541259,0.24162732
gen_fuel_solar_mw,0.5152368,0.2017722,0.2026357,0.13932599,0.04316885,0.18342651
gen_fuel_multiple_fuels_pct,0.5090422,0.17413501,0.17035948,0.09248752,0.04940045,0.19458978
net_inadv_interchange_mw,0.5088892,0.18199557,0.18043296,0.121348515,0.006901276,0.18196982
gen_fuel_wind_mw,0.50602615,0.17430933,0.16075869,0.103342146,0.018953387,0.17335147
gen_fuel_solar_pct,0.50577456,0.09794188,0.19120882,0.10256926,0.066897854,0.17341259
rmccp,0.50428444,0.070853144,0.16170013,0.084847964,0.14366214,0.15374494
total_pjm_self_sched_reg,0.5032528,0.09764287,0.14300366,0.13218237,0.029053971,0.18644705
total_pjm_assigned_reg,0.48643762,0.04577686,0.058941618,0.06985067,0.02229636,0.13701151
total_pjm_rmpcp_cr,0.48473462,0.02902526,0.09183879,0.03612641,0.08545592,0.06984037
rmpcp,0.4837089,0.013670025,0.0707622,0.07328027,0.037598547,0.09622633
da_as_ss_mw_primary_reserve,0.47808152,0.0018781468,0.033000138,0.031649422,0.039950036,0.10293062
da_as_ss_mw_synchronized_reserve,0.47775328,0.025324054,0.0068810866,0.003901307,0.06215893,0.10950902
da_as_ss_mw_thirty_minutes_reserve,0.47763988,0.016688503,0.018845834,0.007918322,0.04862572,0.11330248
da_as_ircmwt2_synchronized_reserve,0.46477455,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.46477455,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_pct,0.46477455,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.46477455,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.46477455,0.0,0.0,0.0,0.0,0.0
