field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.801471471786499,-0.12812699095294056
gross_actual_interchange_mw,0.8759973140166133,0.7481927275657654,-0.1278045864508479
total_gen,0.99832719588513,0.985305905342102,-0.013021290543027919
metered_load_mw,0.9962878493933236,0.989637553691864,-0.006650295701459585
total_losses,0.9334742413917716,0.8485839366912842,-0.08489030470048742
congestion_price_da,0.6602494811248918,0.4344606399536133,-0.2257888411712785
congestion_price_rt,0.6702083206524372,0.5988379716873169,-0.07137034896512029
marginal_loss_price_da,0.8816090434068973,0.7423866987228394,-0.13922234468405792
total_lmp_da,0.99047564583207,0.981048583984375,-0.00942706184769504
da_as_total_mw_primary_reserve,0.953601669814596,0.9506094455718994,-0.0029922242426966283
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9147436618804932,-0.005256438918314843
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8452558517456055,-0.06888786607571817
