confidential_field,model_r2,probe_r2,gap
total_gen,0.9904938,0.99832719588513,-0.007833421
metered_load_mw,0.9894859,0.9962878493933236,-0.0068019032
total_lmp_da,0.98352927,0.99047564583207,-0.006946385
da_as_total_mw_primary_reserve,0.95245874,0.953601669814596,-0.0011429191
da_as_total_mw_synchronized_reserve,0.91725093,0.920000100798808,-0.002749145
da_as_total_mw_thirty_minutes_reserve,0.8570975,0.9141437178213236,-0.057046235
total_losses,0.8546777,0.9334742413917716,-0.078796566
net_actual_interchange_mw,0.8471995,0.9295984627394396,-0.08239895
marginal_loss_price_da,0.8141326,0.8816090434068973,-0.06747645
gross_actual_interchange_mw,0.7584903,0.8759973140166133,-0.11750698
congestion_price_rt,0.63446325,0.6702083206524372,-0.035745084
congestion_price_da,0.6112883,0.6602494811248918,-0.048961163
