S,conf,syn4,K,delta,delta_sd,cohen_d,marginal
"(5, 20, 39, 40)",total_losses,0.166,8,0.0404,0.2268,0.178,0.2362
"(5, 20, 39, 40)",total_losses,0.166,12,-0.0515,0.2662,-0.194,0.0489
"(5, 20, 39, 40)",total_losses,0.166,16,-0.1675,0.3165,-0.529,-0.1063
"(5, 20, 39, 40)",total_losses,0.166,22,-0.2273,0.3168,-0.717,-0.189
"(5, 19, 39, 40)",total_losses,0.1564,8,0.0494,0.2444,0.202,0.2862
"(5, 19, 39, 40)",total_losses,0.1564,12,-0.0293,0.2371,-0.124,0.101
"(5, 19, 39, 40)",total_losses,0.1564,16,-0.1423,0.2865,-0.497,-0.0898
"(5, 19, 39, 40)",total_losses,0.1564,22,-0.1249,0.2471,-0.505,-0.0976
"(20, 30, 39, 40)",total_losses,0.1355,8,0.0413,0.1879,0.22,0.2694
"(20, 30, 39, 40)",total_losses,0.1355,12,-0.0612,0.2509,-0.244,0.0781
"(20, 30, 39, 40)",total_losses,0.1355,16,-0.1686,0.3066,-0.55,-0.1068
"(20, 30, 39, 40)",total_losses,0.1355,22,-0.1625,0.2524,-0.644,-0.1339
"(5, 33, 39, 40)",total_losses,0.1352,8,-0.0114,0.2163,-0.053,0.1675
"(5, 33, 39, 40)",total_losses,0.1352,12,-0.0537,0.2018,-0.266,0.0514
"(5, 33, 39, 40)",total_losses,0.1352,16,-0.1051,0.2523,-0.416,-0.05
"(5, 33, 39, 40)",total_losses,0.1352,22,-0.2154,0.294,-0.733,-0.1858
"(19, 30, 39, 40)",total_losses,0.1349,8,0.0617,0.1841,0.335,0.2624
"(19, 30, 39, 40)",total_losses,0.1349,12,-0.136,0.2948,-0.461,-0.0195
"(19, 30, 39, 40)",total_losses,0.1349,16,-0.09,0.257,-0.35,-0.0283
"(19, 30, 39, 40)",total_losses,0.1349,22,-0.1528,0.2585,-0.591,-0.1247
"(16, 30, 39, 40)",total_losses,0.1317,8,-0.0756,0.2258,-0.335,0.1546
"(16, 30, 39, 40)",total_losses,0.1317,12,-0.1122,0.2506,-0.448,-0.0031
"(16, 30, 39, 40)",total_losses,0.1317,16,-0.1271,0.2535,-0.501,-0.0622
"(16, 30, 39, 40)",total_losses,0.1317,22,-0.138,0.221,-0.624,-0.1122
"(29, 32, 39, 40)",total_losses,0.1316,8,-0.062,0.146,-0.424,0.1937
"(29, 32, 39, 40)",total_losses,0.1316,12,-0.1139,0.253,-0.45,-0.0049
"(29, 32, 39, 40)",total_losses,0.1316,16,-0.1114,0.2515,-0.443,-0.0638
"(29, 32, 39, 40)",total_losses,0.1316,22,-0.247,0.2855,-0.865,-0.2254
"(29, 31, 39, 40)",total_losses,0.1316,8,-0.0725,0.1969,-0.368,0.128
"(29, 31, 39, 40)",total_losses,0.1316,12,-0.0972,0.2359,-0.412,0.0051
"(29, 31, 39, 40)",total_losses,0.1316,16,-0.1878,0.3139,-0.598,-0.1246
"(29, 31, 39, 40)",total_losses,0.1316,22,-0.2459,0.2908,-0.846,-0.2255
