S,syn4,best_parent_rank,best_parent_syn3
"(1, 4, 7, 14)",0.1352,595,0.0912
"(0, 1, 7, 14)",0.103,595,0.0912
"(1, 7, 9, 14)",0.1216,595,0.0912
"(1, 7, 14, 18)",0.1133,595,0.0912
"(3, 11, 13, 43)",0.1049,581,0.0916
"(3, 10, 14, 20)",0.1118,555,0.0927
"(3, 4, 10, 14)",0.1035,554,0.0927
"(5, 31, 39, 40)",0.1458,519,0.0943
"(5, 32, 39, 40)",0.1458,518,0.0943
"(7, 12, 13, 42)",0.1033,510,0.095
"(1, 14, 17, 18)",0.1188,502,0.0955
"(3, 10, 14, 19)",0.1205,494,0.0957
"(3, 11, 13, 40)",0.1157,484,0.0963
"(3, 4, 18, 40)",0.1019,469,0.0969
"(1, 9, 14, 17)",0.1275,466,0.0971
"(10, 13, 14, 19)",0.1129,465,0.0971
"(6, 7, 11, 16)",0.1601,457,0.0975
"(1, 31, 39, 40)",0.1359,441,0.0985
"(1, 32, 39, 40)",0.1359,440,0.0985
"(6, 11, 16, 17)",0.1693,414,0.1002
"(0, 6, 11, 31)",0.1025,390,0.1015
"(0, 6, 11, 32)",0.1025,389,0.1015
"(3, 13, 38, 42)",0.123,369,0.1029
"(13, 18, 32, 39)",0.1012,360,0.1036
"(13, 18, 31, 39)",0.1012,359,0.1036
"(18, 29, 32, 38)",0.1004,336,0.1055
"(18, 29, 31, 38)",0.1004,335,0.1055
"(5, 11, 15, 43)",0.1089,322,0.1062
"(5, 7, 11, 15)",0.1363,322,0.1062
"(5, 14, 39, 40)",0.1257,309,0.1073
"(11, 14, 39, 40)",0.1221,309,0.1073
"(14, 18, 39, 40)",0.1054,309,0.1073
"(9, 14, 39, 40)",0.1087,309,0.1073
"(11, 30, 33, 40)",0.1187,302,0.1082
"(3, 7, 11, 33)",0.1065,299,0.1086
"(3, 11, 17, 33)",0.1125,299,0.1086
"(0, 6, 11, 33)",0.1041,269,0.1107
"(2, 9, 31, 40)",0.1061,267,0.111
"(2, 9, 32, 40)",0.1061,266,0.111
"(6, 7, 11, 40)",0.1116,243,0.1122
"(2, 31, 39, 40)",0.1196,242,0.1123
"(2, 32, 39, 40)",0.1196,241,0.1123
"(5, 11, 15, 17)",0.141,212,0.1149
"(3, 7, 11, 13)",0.1443,203,0.1157
"(5, 14, 15, 38)",0.1039,198,0.1163
"(7, 17, 33, 37)",0.1123,191,0.1174
"(6, 16, 19, 42)",0.1143,183,0.119
"(7, 9, 17, 18)",0.1475,178,0.12
"(3, 11, 17, 31)",0.1162,173,0.1202
"(3, 7, 11, 31)",0.1031,173,0.1202
"(3, 7, 11, 32)",0.1031,172,0.1202
"(3, 11, 17, 32)",0.1162,172,0.1202
"(2, 11, 12, 17)",0.1506,171,0.1203
"(1, 2, 12, 17)",0.1052,171,0.1203
"(2, 3, 9, 18)",0.1059,165,0.1216
"(3, 11, 33, 40)",0.1284,163,0.1226
