tau,conf,v_full,thr,edges,edge_frac
0.05,net_actual_interchange_mw,0.8388,0.7888,946,1.0
0.05,gross_actual_interchange_mw,0.7773,0.7273,946,1.0
0.05,total_gen,0.9972,0.9472,858,0.907
0.05,metered_load_mw,0.9933,0.9433,858,0.907
0.05,total_losses,0.8364,0.7864,946,1.0
0.05,congestion_price_da,0.3953,0.3453,946,1.0
0.05,congestion_price_rt,0.0,-0.05,0,0.0
0.05,marginal_loss_price_da,0.746,0.696,946,1.0
0.05,total_lmp_da,0.9881,0.9381,903,0.9545
0.05,da_as_total_mw_primary_reserve,0.9494,0.8994,943,0.9968
0.05,da_as_total_mw_synchronized_reserve,0.9082,0.8582,943,0.9968
0.05,da_as_total_mw_thirty_minutes_reserve,0.8198,0.7698,946,1.0
0.1,net_actual_interchange_mw,0.8388,0.7388,946,1.0
0.1,gross_actual_interchange_mw,0.7773,0.6773,946,1.0
0.1,total_gen,0.9972,0.8972,850,0.8985
0.1,metered_load_mw,0.9933,0.8933,855,0.9038
0.1,total_losses,0.8364,0.7364,946,1.0
0.1,congestion_price_da,0.3953,0.2953,946,1.0
0.1,congestion_price_rt,0.0,-0.1,0,0.0
0.1,marginal_loss_price_da,0.746,0.646,931,0.9841
0.1,total_lmp_da,0.9881,0.8881,903,0.9545
0.1,da_as_total_mw_primary_reserve,0.9494,0.8494,943,0.9968
0.1,da_as_total_mw_synchronized_reserve,0.9082,0.8082,943,0.9968
0.1,da_as_total_mw_thirty_minutes_reserve,0.8198,0.7198,946,1.0
0.15,net_actual_interchange_mw,0.8388,0.6888,946,1.0
0.15,gross_actual_interchange_mw,0.7773,0.6273,908,0.9598
0.15,total_gen,0.9972,0.8472,776,0.8203
0.15,metered_load_mw,0.9933,0.8433,776,0.8203
0.15,total_losses,0.8364,0.6864,946,1.0
0.15,congestion_price_da,0.3953,0.2453,946,1.0
0.15,congestion_price_rt,0.0,-0.15,0,0.0
0.15,marginal_loss_price_da,0.746,0.596,903,0.9545
0.15,total_lmp_da,0.9881,0.8381,903,0.9545
0.15,da_as_total_mw_primary_reserve,0.9494,0.7994,943,0.9968
0.15,da_as_total_mw_synchronized_reserve,0.9082,0.7582,943,0.9968
0.15,da_as_total_mw_thirty_minutes_reserve,0.8198,0.6698,946,1.0
