conf,order,edges,cliques,full,full_space,compress
net_actual_interchange_mw,4,946,135751,,135751,1.0
net_actual_interchange_mw,5,946,1086008,,1086008,1.0
gross_actual_interchange_mw,4,946,135751,,135751,1.0
gross_actual_interchange_mw,5,946,1086008,,1086008,1.0
total_gen,4,850,104127,,135751,1.3
total_gen,5,850,756669,,1086008,1.4
metered_load_mw,4,855,107559,,135751,1.3
metered_load_mw,5,855,797202,,1086008,1.4
total_losses,4,946,135751,,135751,1.0
total_losses,5,946,1086008,,1086008,1.0
congestion_price_da,4,946,135751,,135751,1.0
congestion_price_da,5,946,1086008,,1086008,1.0
congestion_price_rt,4,0,0,,135751,135751.0
congestion_price_rt,5,0,0,,1086008,1086008.0
marginal_loss_price_da,4,931,126686,,135751,1.1
marginal_loss_price_da,5,931,983073,,1086008,1.1
total_lmp_da,4,903,123410,,135751,1.1
total_lmp_da,5,903,962598,,1086008,1.1
da_as_total_mw_primary_reserve,4,943,133290,,135751,1.0
da_as_total_mw_primary_reserve,5,943,1053988,,1086008,1.0
da_as_total_mw_synchronized_reserve,4,943,133290,,135751,1.0
da_as_total_mw_synchronized_reserve,5,943,1053988,,1086008,1.0
da_as_total_mw_thirty_minutes_reserve,4,946,135751,,135751,1.0
da_as_total_mw_thirty_minutes_reserve,5,946,1086008,,1086008,1.0
