order,tau,n_strong,parent_space,med_best_parent_rank,med_best_parent_syn,blind_B200,blind_B500,blind_B1000,blind_B2000,blind_B5000
4,0.05,7122,13244,478,0.0966,0.7211,0.4864,0.2331,0.049,0.0029
4,0.1,230,13244,138,0.125,0.3652,0.2217,0.1043,0.0304,0.0
4,0.15,11,13244,457,0.0975,0.6364,0.4545,0.1818,0.0,0.0
5,0.05,7854,135751,1030,0.0765,0.8449,0.6916,0.5071,0.2963,0.1119
5,0.1,111,135751,374,0.0922,0.6216,0.4685,0.3243,0.2432,0.1982
5,0.15,6,135751,301,0.0953,0.6667,0.1667,0.1667,0.1667,0.1667
