indices,size,syn_peel,conf
"(np.int64(4), np.int64(14), np.int64(19))",3,0.47227746459913544,0
"(np.int64(1), np.int64(11), np.int64(19))",3,0.46987217617547405,0
"(np.int64(0), np.int64(10), np.int64(19))",3,0.44619476107266864,0
"(np.int64(0), np.int64(10), np.int64(20))",3,0.33903192550575667,0
"(np.int64(2), np.int64(12), np.int64(19))",3,0.31236840293432333,0
"(np.int64(9), np.int64(18), np.int64(19))",3,0.3115380875581567,0
"(np.int64(7), np.int64(17), np.int64(19))",3,0.2414682509517081,0
"(np.int64(0), np.int64(10), np.int64(14))",3,0.2325847138779401,11
"(np.int64(2), np.int64(12), np.int64(14))",3,0.21678018287220135,11
"(np.int64(14), np.int64(38), np.int64(42))",3,0.20773254180779288,0
"(np.int64(9), np.int64(18), np.int64(30))",3,0.20672566948607896,7
"(np.int64(1), np.int64(38), np.int64(42))",3,0.1839933185786784,0
"(np.int64(20), np.int64(38), np.int64(39), np.int64(40))",4,0.17803063241607808,4
"(np.int64(2), np.int64(12), np.int64(13))",3,0.17420065949861707,11
"(np.int64(1), np.int64(11), np.int64(17))",3,0.1722612389756848,4
"(np.int64(11), np.int64(17), np.int64(19))",3,0.1615329473329331,4
"(np.int64(7), np.int64(11), np.int64(14))",3,0.1614259892438913,4
"(np.int64(0), np.int64(4), np.int64(10))",3,0.15835759567791519,11
"(np.int64(4), np.int64(9), np.int64(14))",3,0.1545291595432563,4
"(np.int64(0), np.int64(38), np.int64(42))",3,0.15030363263631952,0
"(np.int64(14), np.int64(19), np.int64(31))",3,0.14881007079806718,11
"(np.int64(14), np.int64(19), np.int64(33))",3,0.14865494958611225,11
"(np.int64(14), np.int64(20), np.int64(31))",3,0.14822062552134352,11
"(np.int64(14), np.int64(20), np.int64(32))",3,0.1482192333733533,11
"(np.int64(1), np.int64(7), np.int64(19))",3,0.14752287108322681,4
"(np.int64(0), np.int64(14), np.int64(31))",3,0.1474102170782846,11
"(np.int64(2), np.int64(7), np.int64(12))",3,0.14427536883672243,1
"(np.int64(5), np.int64(9), np.int64(18))",3,0.14388706604206092,3
"(np.int64(1), np.int64(10), np.int64(18))",3,0.14161615815512696,4
"(np.int64(10), np.int64(11), np.int64(38))",3,0.14115834249489045,0
"(np.int64(5), np.int64(15), np.int64(38), np.int64(42))",4,0.14089914832563566,0
"(np.int64(1), np.int64(17), np.int64(20))",3,0.13704536105480625,4
"(np.int64(2), np.int64(4), np.int64(12))",3,0.1366529942514898,11
"(np.int64(4), np.int64(7), np.int64(11), np.int64(14))",4,0.13183444133082878,4
"(np.int64(1), np.int64(13), np.int64(30))",3,0.1300392151365024,11
"(np.int64(0), np.int64(31), np.int64(38))",3,0.12827942591254904,0
"(np.int64(10), np.int64(11), np.int64(17))",3,0.1250258301083178,2
"(np.int64(10), np.int64(14), np.int64(38))",3,0.12490602828997333,0
"(np.int64(0), np.int64(10), np.int64(38), np.int64(42))",4,0.12453493460057519,0
"(np.int64(5), np.int64(15), np.int64(31))",3,0.12437603761499416,0
"(np.int64(0), np.int64(33), np.int64(38))",3,0.12349637973543126,0
"(np.int64(7), np.int64(17), np.int64(20), np.int64(38))",4,0.12148472010097944,0
"(np.int64(7), np.int64(14), np.int64(17), np.int64(30))",4,0.11965524056073162,11
"(np.int64(7), np.int64(17), np.int64(38))",3,0.11884798232841365,5
"(np.int64(3), np.int64(14), np.int64(31))",3,0.11753471577349739,0
"(np.int64(1), np.int64(2), np.int64(3))",3,0.11521130189579443,9
"(np.int64(4), np.int64(14), np.int64(38))",3,0.11404682735880367,0
"(np.int64(5), np.int64(19), np.int64(31))",3,0.11154339179298556,11
"(np.int64(20), np.int64(29), np.int64(38))",3,0.10814867268729,10
"(np.int64(19), np.int64(24), np.int64(25), np.int64(26))",4,0.10784271626120556,9
"(np.int64(2), np.int64(12), np.int64(19), np.int64(42))",4,0.10638973043306599,0
"(np.int64(3), np.int64(30), np.int64(31))",3,0.10600127861213582,11
"(np.int64(2), np.int64(4), np.int64(40))",3,0.10559215049774884,3
"(np.int64(14), np.int64(33), np.int64(38))",3,0.10551283508149178,0
"(np.int64(2), np.int64(12), np.int64(14), np.int64(33))",4,0.1051560926244689,11
"(np.int64(1), np.int64(29), np.int64(32))",3,0.10413814876980343,11
"(np.int64(20), np.int64(29), np.int64(31))",3,0.10288611107584389,11
"(np.int64(2), np.int64(6), np.int64(13), np.int64(16))",4,0.10248107542918383,11
"(np.int64(13), np.int64(31), np.int64(42))",3,0.10151479905737826,0
"(np.int64(10), np.int64(18), np.int64(20))",3,0.10138211929921215,4
"(np.int64(9), np.int64(18), np.int64(40))",3,0.10125689126747395,6
"(np.int64(11), np.int64(31), np.int64(38))",3,0.10042449152184674,11
