S,conf,syn4,K,v_with,v_without,gap,cohen_d,v_with_sat
"(5, 20, 39, 40)",total_losses,0.166,8,0.6458,0.5264,0.1194,1.055,0.0
"(5, 20, 39, 40)",total_losses,0.166,12,0.6116,0.69,-0.0784,-1.197,0.0
"(5, 20, 39, 40)",total_losses,0.166,16,0.5815,0.7481,-0.1666,-3.999,0.0
"(5, 20, 39, 40)",total_losses,0.166,22,0.6319,0.7912,-0.1593,-7.383,0.0
"(5, 19, 39, 40)",total_losses,0.1564,8,0.6208,0.5645,0.0564,0.426,0.0
"(5, 19, 39, 40)",total_losses,0.1564,12,0.6343,0.6584,-0.024,-0.293,0.0
"(5, 19, 39, 40)",total_losses,0.1564,16,0.6202,0.7457,-0.1255,-2.655,0.0
"(5, 19, 39, 40)",total_losses,0.1564,22,0.6203,0.7882,-0.1679,-6.743,0.0
"(20, 30, 39, 40)",total_losses,0.1355,8,0.6142,0.5716,0.0425,0.328,0.0
"(20, 30, 39, 40)",total_losses,0.1355,12,0.6193,0.678,-0.0586,-0.814,0.0
"(20, 30, 39, 40)",total_losses,0.1355,16,0.5669,0.747,-0.1801,-4.14,0.0
"(20, 30, 39, 40)",total_losses,0.1355,22,0.6732,0.7922,-0.119,-4.026,0.0
"(5, 33, 39, 40)",total_losses,0.1352,8,0.5594,0.586,-0.0265,-0.225,0.0
"(5, 33, 39, 40)",total_losses,0.1352,12,0.5689,0.6845,-0.1156,-1.468,0.0
"(5, 33, 39, 40)",total_losses,0.1352,16,0.6214,0.7391,-0.1177,-2.347,0.0
"(5, 33, 39, 40)",total_losses,0.1352,22,0.5693,0.7888,-0.2195,-9.269,0.0
"(19, 30, 39, 40)",total_losses,0.1349,8,0.6288,0.5499,0.0789,0.584,0.0
"(19, 30, 39, 40)",total_losses,0.1349,12,0.6301,0.6725,-0.0423,-0.57,0.0
"(19, 30, 39, 40)",total_losses,0.1349,16,0.5682,0.7498,-0.1815,-5.711,0.0
"(19, 30, 39, 40)",total_losses,0.1349,22,0.5826,0.7807,-0.1981,-6.642,0.0
"(16, 30, 39, 40)",total_losses,0.1317,8,0.5085,0.5924,-0.0839,-0.715,0.0
"(16, 30, 39, 40)",total_losses,0.1317,12,0.5811,0.6931,-0.1121,-1.826,0.0
"(16, 30, 39, 40)",total_losses,0.1317,16,0.5948,0.7417,-0.1469,-2.902,0.0
"(16, 30, 39, 40)",total_losses,0.1317,22,0.5534,0.7936,-0.2403,-10.362,0.0
"(29, 32, 39, 40)",total_losses,0.1316,8,0.5331,0.5928,-0.0597,-0.464,0.0
"(29, 32, 39, 40)",total_losses,0.1316,12,0.5677,0.7042,-0.1365,-2.533,0.0
"(29, 32, 39, 40)",total_losses,0.1316,16,0.6399,0.7483,-0.1085,-2.214,0.0
"(29, 32, 39, 40)",total_losses,0.1316,22,0.6126,0.7924,-0.1798,-8.861,0.0
"(29, 31, 39, 40)",total_losses,0.1316,8,0.5219,0.5776,-0.0557,-0.466,0.0
"(29, 31, 39, 40)",total_losses,0.1316,12,0.5992,0.6955,-0.0963,-1.126,0.0
"(29, 31, 39, 40)",total_losses,0.1316,16,0.608,0.7414,-0.1334,-2.745,0.0
"(29, 31, 39, 40)",total_losses,0.1316,22,0.6159,0.7945,-0.1785,-8.032,0.0
