confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9895427,0.9962878493933236,-0.0067451
total_gen,0.98606896,0.99832719588513,-0.012258232
total_lmp_da,0.98015815,0.99047564583207,-0.010317504
da_as_total_mw_primary_reserve,0.9517846,0.953601669814596,-0.0018170476
da_as_total_mw_synchronized_reserve,0.91603696,0.920000100798808,-0.003963113
total_losses,0.83224964,0.9334742413917716,-0.1012246
da_as_total_mw_thirty_minutes_reserve,0.82592905,0.9141437178213236,-0.088214695
marginal_loss_price_da,0.7876483,0.8816090434068973,-0.0939607
net_actual_interchange_mw,0.7837465,0.9295984627394396,-0.14585197
gross_actual_interchange_mw,0.75044036,0.8759973140166133,-0.12555695
congestion_price_rt,0.60945594,0.6702083206524372,-0.06075239
congestion_price_da,0.48028135,0.6602494811248918,-0.17996812
