scheme,K,n,rho,top20,med_rank10,recall,fp
bern50,0,11352.0,0.45736700082594234,0.31666666666666665,7617.75,0.682983682983683,0.00048319182715538065
bern50,5,11352.0,0.7095542689665294,0.3499999999999999,5956.333333333333,0.7226107226107227,0.0
bern50,10,11352.0,0.7749140835286683,0.3499999999999999,4369.166666666667,0.7459207459207459,0.0
bern50,15,11352.0,0.8119821805268598,0.3666666666666667,2042.0,0.7738927738927739,0.0
bern50,20,11352.0,0.8296932105449043,0.45,1206.1666666666667,0.7925407925407925,0.0
bern50,25,11352.0,0.8500318316131413,0.45,502.6666666666667,0.822843822843823,0.0
bern50,30,11352.0,0.8697605649301478,0.55,187.83333333333334,0.8438228438228439,0.0
bern50,35,11352.0,0.8792852895421963,0.55,52.5,0.8694638694638694,0.0
bern50,40,11352.0,0.8882264915917594,0.5666666666666668,25.166666666666668,0.888111888111888,0.0
bern50,45,11352.0,0.8954177017746924,0.7166666666666667,7.666666666666667,0.8997668997668997,0.0
bern50,50,11352.0,0.8946251931834364,0.75,5.5,0.9090909090909091,0.0
bern50,55,11352.0,0.8996052477955848,0.8000000000000002,5.5,0.923076923076923,0.0
bern50,60,11352.0,0.9016525116671928,0.8000000000000002,5.5,0.9347319347319347,0.0
bern50,65,11352.0,0.9093922204894754,0.8000000000000002,5.5,0.9393939393939394,0.0
bern50,70,11352.0,0.9123412021294164,0.8000000000000002,5.5,0.9533799533799533,0.0
bern50,75,11352.0,0.9103637277439317,0.8000000000000002,5.5,0.958041958041958,0.0
bern50,80,11352.0,0.9110875437391796,0.8000000000000002,5.5,0.9673659673659674,0.0
none,0,11352.0,0.0411172153176585,0.20000000000000004,6407.833333333333,0.10955710955710957,0.006212466349140609
none,5,11352.0,0.4956630351233822,0.25,10874.0,0.5827505827505827,0.0
none,10,11352.0,0.6393614856778996,0.3499999999999999,9531.166666666666,0.662004662004662,0.0
none,15,11352.0,0.7199645059645313,0.3499999999999999,7174.0,0.7156177156177156,0.0
none,20,11352.0,0.7704111814879036,0.3666666666666667,2721.8333333333335,0.7459207459207459,0.0
none,25,11352.0,0.8019333065835982,0.45,722.8333333333334,0.7808857808857809,0.0001380548077586802
none,30,11352.0,0.8200968611318502,0.5,156.0,0.8228438228438227,0.0
none,35,11352.0,0.8436751603112346,0.5833333333333334,31.833333333333332,0.8368298368298368,0.0
none,40,11352.0,0.8546279251648684,0.6833333333333332,10.333333333333334,0.8578088578088577,0.0
none,45,11352.0,0.8642489921539052,0.7333333333333334,5.5,0.8764568764568764,0.0
none,50,11352.0,0.8661933499008297,0.75,5.5,0.9020979020979021,0.0
none,55,11352.0,0.8741311923262107,0.75,5.5,0.9160839160839161,0.0
none,60,11352.0,0.8796206614799228,0.7833333333333333,5.5,0.9300699300699301,0.0
none,65,11352.0,0.8834496520537424,0.7833333333333333,5.5,0.9417249417249417,0.0
none,70,11352.0,0.8875378448505954,0.7833333333333333,5.5,0.9510489510489512,0.0
none,75,11352.0,0.8842914143149546,0.8000000000000002,5.5,0.9627039627039626,0.0
none,80,11352.0,0.8898609650412842,0.8000000000000002,5.5,0.9673659673659674,0.0
uniform,0,11352.0,0.6816667092359198,0.3499999999999999,7724.166666666667,0.6993006993006993,0.0
uniform,5,11352.0,0.7789038309400466,0.3499999999999999,2496.8333333333335,0.7389277389277389,0.0
uniform,10,11352.0,0.8050965718214654,0.3499999999999999,697.1666666666666,0.7668997668997669,0.0
uniform,15,11352.0,0.8363463407301697,0.45,277.8333333333333,0.8088578088578089,0.0
uniform,20,11352.0,0.8524069080250399,0.48333333333333334,79.5,0.8508158508158509,0.0
uniform,25,11352.0,0.8667088039197822,0.5666666666666668,33.333333333333336,0.8624708624708625,0.0
uniform,30,11352.0,0.8768072508690841,0.6,19.0,0.888111888111888,0.0
uniform,35,11352.0,0.886993857705376,0.7333333333333334,8.0,0.9020979020979021,0.0
uniform,40,11352.0,0.8900529196021304,0.8000000000000002,5.5,0.9160839160839161,0.0
uniform,45,11352.0,0.8985112715211572,0.8000000000000002,5.5,0.923076923076923,0.0
uniform,50,11352.0,0.8981298347022159,0.8000000000000002,5.5,0.923076923076923,0.0
uniform,55,11352.0,0.9014790292211027,0.8000000000000002,5.5,0.9370629370629371,0.0
uniform,60,11352.0,0.9023128831689138,0.8000000000000002,5.5,0.9440559440559441,0.0
uniform,65,11352.0,0.9118810226797839,0.8000000000000002,5.5,0.9557109557109557,0.0
uniform,70,11352.0,0.9129174773895729,0.8000000000000002,5.5,0.958041958041958,0.0
uniform,75,11352.0,0.910624542175177,0.8000000000000002,5.5,0.9696969696969697,0.0
uniform,80,11352.0,0.9129847593662332,0.8000000000000002,5.5,0.9673659673659674,0.0
