scheme,seed,K,n,rho,top20,med_rank10,recall,fp
bern50,0,0,11352,0.4497511888555,0.3,7518.0,0.6923076923076923,0.0008283288465520812
bern50,0,5,11352,0.7212371793970659,0.35,4416.0,0.7202797202797203,0.0
bern50,0,10,11352,0.7674540879774929,0.35,2696.5,0.7412587412587412,0.0
bern50,0,15,11352,0.8186955509997119,0.35,1685.5,0.7692307692307693,0.0
bern50,0,20,11352,0.829946430336191,0.45,776.0,0.7902097902097902,0.0
bern50,0,25,11352,0.844056354305943,0.45,369.0,0.8321678321678322,0.0
bern50,0,30,11352,0.8651678954900097,0.55,149.0,0.8461538461538461,0.0
bern50,0,35,11352,0.8777319983745563,0.55,42.5,0.8671328671328671,0.0
bern50,0,40,11352,0.8925923906983425,0.6,21.0,0.8951048951048951,0.0
bern50,0,45,11352,0.8960243765229099,0.8,6.5,0.8951048951048951,0.0
bern50,0,50,11352,0.8933169780605923,0.8,5.5,0.916083916083916,0.0
bern50,0,55,11352,0.9000415413172996,0.8,5.5,0.9230769230769231,0.0
bern50,0,60,11352,0.9017971230376675,0.8,5.5,0.9370629370629371,0.0
bern50,0,65,11352,0.908194814857907,0.8,5.5,0.9370629370629371,0.0
bern50,0,70,11352,0.9131500580006976,0.8,5.5,0.951048951048951,0.0
bern50,0,75,11352,0.9113780608120466,0.8,5.5,0.951048951048951,0.0
bern50,0,80,11352,0.9093731358667468,0.8,5.5,0.958041958041958,0.0
bern50,1,0,11352,0.4721198427723507,0.3,7989.25,0.6993006993006993,0.0002070822116380203
bern50,1,5,11352,0.7007937752993416,0.35,5989.5,0.7272727272727273,0.0
bern50,1,10,11352,0.7854185429656575,0.35,6799.5,0.7482517482517482,0.0
bern50,1,15,11352,0.8255973909162659,0.35,2161.0,0.7762237762237763,0.0
bern50,1,20,11352,0.8514121270951175,0.45,1299.5,0.7902097902097902,0.0
bern50,1,25,11352,0.8496696593584566,0.45,568.0,0.8181818181818182,0.0
bern50,1,30,11352,0.8649347637644724,0.55,234.5,0.8531468531468531,0.0
bern50,1,35,11352,0.8853174000168362,0.55,67.5,0.8671328671328671,0.0
bern50,1,40,11352,0.8968773288157403,0.55,30.5,0.8741258741258742,0.0
bern50,1,45,11352,0.9005567463277951,0.7,9.5,0.9020979020979021,0.0
bern50,1,50,11352,0.8995157766700034,0.8,5.5,0.9090909090909091,0.0
bern50,1,55,11352,0.9004692125537,0.8,5.5,0.9300699300699301,0.0
bern50,1,60,11352,0.9030665366033993,0.8,5.5,0.9370629370629371,0.0
bern50,1,65,11352,0.9105528977426471,0.8,5.5,0.9440559440559441,0.0
bern50,1,70,11352,0.9183531816042007,0.8,5.5,0.958041958041958,0.0
bern50,1,75,11352,0.911741161022657,0.8,5.5,0.958041958041958,0.0
bern50,1,80,11352,0.912050025111495,0.8,5.5,0.972027972027972,0.0
bern50,2,0,11352,0.4502299708499763,0.35,7346.0,0.6573426573426573,0.0004141644232760406
bern50,2,5,11352,0.7066318522031806,0.35,7463.5,0.7202797202797203,0.0
bern50,2,10,11352,0.7718696196428546,0.35,3611.5,0.7482517482517482,0.0
bern50,2,15,11352,0.7916535996646017,0.4,2279.5,0.7762237762237763,0.0
bern50,2,20,11352,0.8077210742034044,0.45,1543.0,0.7972027972027972,0.0
bern50,2,25,11352,0.8563694811750244,0.45,571.0,0.8181818181818182,0.0
