sid,size,K,conf,est
p00_01,2,40,net_actual_interchange_mw,0.22095471620559692
p00_01,2,40,gross_actual_interchange_mw,0.18417119979858398
p00_01,2,40,total_gen,0.9269691705703735
p00_01,2,40,metered_load_mw,0.905563235282898
p00_01,2,40,total_losses,0.5612297654151917
p00_01,2,40,congestion_price_da,0.12240558862686157
p00_01,2,40,congestion_price_rt,0.08239489793777466
p00_01,2,40,marginal_loss_price_da,0.3206133246421814
p00_01,2,40,total_lmp_da,0.49568259716033936
p00_01,2,40,da_as_total_mw_primary_reserve,0.16164207458496094
p00_01,2,40,da_as_total_mw_synchronized_reserve,0.15808916091918945
p00_01,2,40,da_as_total_mw_thirty_minutes_reserve,0.3620414733886719
p00_01,2,45,net_actual_interchange_mw,0.21571987867355347
p00_01,2,45,gross_actual_interchange_mw,0.1856250762939453
p00_01,2,45,total_gen,0.924551248550415
p00_01,2,45,metered_load_mw,0.9059944152832031
p00_01,2,45,total_losses,0.5619573593139648
p00_01,2,45,congestion_price_da,0.12823385000228882
p00_01,2,45,congestion_price_rt,0.08137547969818115
p00_01,2,45,marginal_loss_price_da,0.352570116519928
p00_01,2,45,total_lmp_da,0.5049285888671875
p00_01,2,45,da_as_total_mw_primary_reserve,0.16237926483154297
p00_01,2,45,da_as_total_mw_synchronized_reserve,0.17270588874816895
p00_01,2,45,da_as_total_mw_thirty_minutes_reserve,0.36648356914520264
p00_01,2,50,net_actual_interchange_mw,0.22433459758758545
p00_01,2,50,gross_actual_interchange_mw,0.18342798948287964
p00_01,2,50,total_gen,0.9344937801361084
p00_01,2,50,metered_load_mw,0.9142324924468994
p00_01,2,50,total_losses,0.5678356885910034
p00_01,2,50,congestion_price_da,0.12733763456344604
p00_01,2,50,congestion_price_rt,0.07952505350112915
p00_01,2,50,marginal_loss_price_da,0.35529524087905884
p00_01,2,50,total_lmp_da,0.5073825120925903
p00_01,2,50,da_as_total_mw_primary_reserve,0.16346585750579834
p00_01,2,50,da_as_total_mw_synchronized_reserve,0.1748589277267456
p00_01,2,50,da_as_total_mw_thirty_minutes_reserve,0.3691338896751404
p00_01,2,55,net_actual_interchange_mw,0.22459948062896729
p00_01,2,55,gross_actual_interchange_mw,0.18917810916900635
p00_01,2,55,total_gen,0.9345519542694092
p00_01,2,55,metered_load_mw,0.9141061902046204
p00_01,2,55,total_losses,0.5696743726730347
p00_01,2,55,congestion_price_da,0.1208198070526123
p00_01,2,55,congestion_price_rt,0.08641171455383301
p00_01,2,55,marginal_loss_price_da,0.35520368814468384
p00_01,2,55,total_lmp_da,0.5151302814483643
p00_01,2,55,da_as_total_mw_primary_reserve,0.15887784957885742
p00_01,2,55,da_as_total_mw_synchronized_reserve,0.1714777946472168
p00_01,2,55,da_as_total_mw_thirty_minutes_reserve,0.3620876669883728
p00_01,2,60,net_actual_interchange_mw,0.2073398232460022
p00_01,2,60,gross_actual_interchange_mw,0.18678295612335205
p00_01,2,60,total_gen,0.9250167012214661
p00_01,2,60,metered_load_mw,0.9043365120887756
p00_01,2,60,total_losses,0.5708506107330322
p00_01,2,60,congestion_price_da,0.12736475467681885
p00_01,2,60,congestion_price_rt,0.0823204517364502
p00_01,2,60,marginal_loss_price_da,0.36158210039138794
p00_01,2,60,total_lmp_da,0.5019784569740295
p00_01,2,60,da_as_total_mw_primary_reserve,0.15689241886138916
p00_01,2,60,da_as_total_mw_synchronized_reserve,0.14277058839797974
p00_01,2,60,da_as_total_mw_thirty_minutes_reserve,0.35087287425994873
p00_01,2,65,net_actual_interchange_mw,0.22480690479278564
p00_01,2,65,gross_actual_interchange_mw,0.18659335374832153
p00_01,2,65,total_gen,0.932687520980835
p00_01,2,65,metered_load_mw,0.9106944799423218
p00_01,2,65,total_losses,0.5635091662406921
p00_01,2,65,congestion_price_da,0.1252416968345642
p00_01,2,65,congestion_price_rt,0.08483809232711792
p00_01,2,65,marginal_loss_price_da,0.36480385065078735
p00_01,2,65,total_lmp_da,0.5251910090446472
p00_01,2,65,da_as_total_mw_primary_reserve,0.16063982248306274
p00_01,2,65,da_as_total_mw_synchronized_reserve,0.1680964231491089
p00_01,2,65,da_as_total_mw_thirty_minutes_reserve,0.3773716688156128
p00_01,2,70,net_actual_interchange_mw,0.2227870225906372
p00_01,2,70,gross_actual_interchange_mw,0.19000500440597534
p00_01,2,70,total_gen,0.9318931698799133
p00_01,2,70,metered_load_mw,0.9130389094352722
p00_01,2,70,total_losses,0.5704227685928345
p00_01,2,70,congestion_price_da,0.11807960271835327
p00_01,2,70,congestion_price_rt,0.087444007396698
p00_01,2,70,marginal_loss_price_da,0.3603728413581848
p00_01,2,70,total_lmp_da,0.529535174369812
p00_01,2,70,da_as_total_mw_primary_reserve,0.16671836376190186
p00_01,2,70,da_as_total_mw_synchronized_reserve,0.1766132116317749
