rule,eps,delta,patience,K,mean_steps,recall,fp
fixed,,,,0.0,0.0,0.6993006993006993,0.0
fixed,,,,5.0,5.0,0.7389277389277389,0.0
adaptive,0.01,0.08,1.0,,6.4810899694620625,0.8461538461538461,0.0
adaptive,0.01,0.05,1.0,,6.574759220108057,0.8461538461538461,0.0
adaptive,0.01,0.02,1.0,,6.762097721400046,0.8508158508158509,0.0
adaptive,0.005,0.08,1.0,,7.900810429880198,0.8717948717948718,0.0
adaptive,0.005,0.05,1.0,,8.198702137655625,0.8717948717948718,0.0
adaptive,0.005,0.02,1.0,,8.827813013859526,0.8764568764568764,0.0
adaptive,0.01,0.08,2.0,,9.55617218698614,0.8904428904428904,0.0
fixed,,,,10.0,10.0,0.7668997668997668,0.0
adaptive,0.01,0.05,2.0,,10.010864458538876,0.8904428904428904,0.0
adaptive,0.002,0.08,1.0,,10.086181583274607,0.8927738927738927,0.0
adaptive,0.002,0.05,1.0,,10.931994362226918,0.895104895104895,0.0
adaptive,0.01,0.02,2.0,,11.02669133192389,0.8974358974358975,0.0
adaptive,0.005,0.08,2.0,,11.174829692271553,0.9067599067599067,0.0
adaptive,0.005,0.05,2.0,,12.267295043457835,0.9090909090909091,0.0
adaptive,0.002,0.02,1.0,,12.951315480385247,0.8997668997668997,0.0
adaptive,0.002,0.08,2.0,,13.72181113460183,0.9114219114219114,0.0
adaptive,0.005,0.02,2.0,,14.738518910030537,0.9184149184149185,0.0
fixed,,,,15.0,15.0,0.8088578088578089,0.0
adaptive,0.002,0.05,2.0,,16.322233967582804,0.9184149184149185,0.0
fixed,,,,20.0,20.0,0.8508158508158509,0.0
adaptive,0.002,0.02,2.0,,22.775722339675827,0.93006993006993,0.0
fixed,,,,25.0,25.0,0.8624708624708625,0.0
fixed,,,,30.0,30.0,0.888111888111888,0.0
fixed,,,,35.0,35.0,0.9020979020979021,0.0
fixed,,,,40.0,40.0,0.9160839160839161,0.0
fixed,,,,45.0,45.0,0.923076923076923,0.0
fixed,,,,50.0,50.0,0.923076923076923,0.0
fixed,,,,55.0,55.0,0.9370629370629371,0.0
fixed,,,,60.0,60.0,0.9440559440559441,0.0
fixed,,,,65.0,65.0,0.9557109557109557,0.0
fixed,,,,70.0,70.0,0.958041958041958,0.0
fixed,,,,75.0,75.0,0.9696969696969697,0.0
fixed,,,,80.0,80.0,0.9673659673659674,0.0
