field,field_type,s_init,label,is_labeled,score
congestion_price_rt,confidential,1.0,1.0,True,0.99894506
total_lmp_da,confidential,1.0,1.0,True,0.99670297
marginal_loss_price_da,confidential,1.0,1.0,True,0.99644095
da_as_total_mw_thirty_minutes_reserve,confidential,1.0,1.0,True,0.9952166
da_as_total_mw_primary_reserve,confidential,1.0,1.0,True,0.9951815
congestion_price_da,confidential,1.0,1.0,True,0.9946926
da_as_total_mw_synchronized_reserve,confidential,1.0,1.0,True,0.9946807
net_actual_interchange_mw,confidential,1.0,1.0,True,0.99358
total_losses,confidential,1.0,1.0,True,0.99319834
gross_actual_interchange_mw,confidential,1.0,1.0,True,0.99238575
total_gen,confidential,1.0,1.0,True,0.99156284
metered_load_mw,confidential,1.0,1.0,True,0.99113476
da_as_ircmwt2_thirty_minutes_reserve,general,0.0,,False,0.95345145
da_as_ircmwt2_synchronized_reserve,general,0.0,,False,0.95345145
da_as_ircmwt2_primary_reserve,general,0.0,,False,0.95345145
da_as_mcp_thirty_minutes_reserve,general,0.0,,False,0.95345145
gen_fuel_storage_pct,general,0.0,,False,0.95336044
rmpcp,general,0.0,,False,0.9474639
total_pjm_assigned_reg,general,0.0,,False,0.9311449
net_inadv_interchange_mw,general,0.0,,False,0.9252983
gen_fuel_storage_mw,general,0.0,,False,0.92050517
total_pjm_rmpcp_cr,general,0.0,,False,0.9120067
forecast_load_mw_latest_available,general,0.0,0.91367185,True,0.90861124
da_as_nsr_mw_primary_reserve,general,0.0,,False,0.9014439
total_pjm_reg_purchases,general,0.0,,False,0.8872802
total_pjm_self_sched_reg,general,0.0,,False,0.8559915
system_energy_price_da,general,0.0,0.83049554,True,0.8476674
total_pjm_loc_credit,general,0.0,,False,0.82947725
gen_fuel_oil_pct,general,0.0,,False,0.7961258
gen_fuel_oil_mw,general,0.0,,False,0.78936815
gen_fuel_hydro_mw,general,0.0,,False,0.7866802
da_as_ss_mw_synchronized_reserve,general,0.0,,False,0.7793967
gen_fuel_multiple_fuels_mw,general,0.0,,False,0.7694289
gen_fuel_hydro_pct,general,0.0,,False,0.7640738
da_as_ss_mw_primary_reserve,general,0.0,,False,0.7547756
gen_fuel_solar_pct,general,0.0,,False,0.7467897
gen_fuel_multiple_fuels_pct,general,0.0,,False,0.7353463
gen_fuel_gas_mw,general,0.0,0.72948176,True,0.729712
gen_fuel_nuclear_mw,general,0.0,,False,0.72432667
gen_fuel_other_renewables_pct,general,0.0,,False,0.72387725
da_as_ss_mw_thirty_minutes_reserve,general,0.0,,False,0.70586556
forecast_load_mw_day_ahead,general,0.0,0.701747,True,0.69417876
gross_inadv_interchange_mw,general,0.0,,False,0.6927951
gen_fuel_nuclear_pct,general,0.0,0.6596692,True,0.6809536
gen_fuel_solar_mw,general,0.0,,False,0.6556893
gen_fuel_gas_pct,general,0.0,,False,0.65443593
gen_fuel_coal_pct,general,0.0,,False,0.6527041
gen_fuel_coal_mw,general,0.0,,False,0.6271018
da_as_mcp_synchronized_reserve,general,0.0,,False,0.5753975
gen_fuel_wind_pct,general,0.0,,False,0.56163627
gen_fuel_other_renewables_mw,general,0.0,,False,0.53299296
gen_fuel_wind_mw,general,0.0,,False,0.5215454
da_as_mcp_primary_reserve,general,0.0,,False,0.48794422
gross_sched_interchange_mw,general,0.0,,False,0.4380067
da_as_as_req_mw_synchronized_reserve,general,0.0,0.41457638,True,0.43521947
da_as_as_req_mw_primary_reserve,general,0.0,0.43817586,True,0.4326636
da_as_as_req_mw_thirty_minutes_reserve,general,0.0,0.41479734,True,0.4304399
total_lmp_rt,general,0.0,0.39671767,True,0.39691028
rmccp,general,0.0,,False,0.3652027
marginal_loss_price_rt,general,0.0,0.3547014,True,0.36218235
total_pjm_rmccp_cr,general,0.0,,False,0.31484327
