field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8613861203193665,-0.06821234242007312
gross_actual_interchange_mw,0.8759973140166133,0.7704492807388306,-0.10554803327778273
total_gen,0.99832719588513,0.9891951680183411,-0.009132027866788905
metered_load_mw,0.9962878493933236,0.9889683127403259,-0.007319536652997671
total_losses,0.9334742413917716,0.8503970503807068,-0.08307719101106481
congestion_price_da,0.6602494811248918,0.5839546918869019,-0.07629478923798994
congestion_price_rt,0.6702083206524372,0.665065348148346,-0.005142972504091237
marginal_loss_price_da,0.8816090434068973,0.7802661657333374,-0.10134287767355987
total_lmp_da,0.99047564583207,0.9848079085350037,-0.0056677372970663775
da_as_total_mw_primary_reserve,0.953601669814596,0.9482132792472839,-0.005388390567312107
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9143730998039246,-0.0056270009948834465
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8474195003509521,-0.0667242174703715
