k,mask,single,attn,ig,shapley,gate,lrp
1,0.03480638191103935,0.03480638191103935,0.03480638191103935,-0.0005940347909927368,0.03480638191103935,-0.0005940347909927368,-0.08648541569709778
2,0.14500309526920319,0.1751164197921753,0.1751164197921753,0.07627799361944199,0.1751164197921753,-0.0014570107450708747,-0.03739406540989876
3,0.2041357010602951,0.24125009775161743,0.24125009775161743,0.1897444725036621,0.2846262753009796,0.0667705237865448,0.018834063783288002
4,0.2640995681285858,0.34975841641426086,0.28021761775016785,0.24020464718341827,0.34975841641426086,0.1791570633649826,0.18354879319667816
5,0.28830239176750183,0.37357744574546814,0.32193925976753235,0.2905901372432709,0.37357744574546814,0.1954045295715332,0.3089291453361511
6,0.30667319893836975,0.40160509943962097,0.36118054389953613,0.3241894841194153,0.40160509943962097,0.1987108588218689,0.36118054389953613
7,0.44034644961357117,0.43745744228363037,0.36627623438835144,0.3737890422344208,0.46320536732673645,0.198231503367424,0.36627623438835144
8,0.49717605113983154,0.5042420029640198,0.4112328588962555,0.5028473734855652,0.5044930577278137,0.20408469438552856,0.4112328588962555
9,0.5240351557731628,0.5317116379737854,0.4500807821750641,0.5437926054000854,0.5556287169456482,0.22829388082027435,0.5144197344779968
10,0.5694735050201416,0.5932719111442566,0.48212704062461853,0.5536099076271057,0.623466432094574,0.23072214424610138,0.5536099076271057
11,0.6275618672370911,0.6354743242263794,0.5856073498725891,0.6386249661445618,0.650179922580719,0.2787708044052124,0.6386249661445618
12,0.6615535616874695,0.650063693523407,0.5791419148445129,0.677349328994751,0.6893870234489441,0.277475506067276,0.677349328994751
13,0.691076934337616,0.710253894329071,0.6664904952049255,0.7206903100013733,0.710253894329071,0.3268291652202606,0.7206903100013733
14,0.7417550086975098,0.720024585723877,0.7223029732704163,0.7290233969688416,0.7417550086975098,0.5085679888725281,0.7417550086975098
15,0.751213788986206,0.7331554889678955,0.751213788986206,0.7519242763519287,0.7492625117301941,0.5578601956367493,0.7402375340461731
16,0.7502805590629578,0.7385688424110413,0.7687320709228516,0.7584536671638489,0.7665004134178162,0.5994160175323486,0.7502805590629578
17,0.7733429074287415,0.7449721693992615,0.7734819054603577,0.7624084949493408,0.7663777470588684,0.6096405386924744,0.7733429074287415
18,0.7792527675628662,0.7495315670967102,0.7863906025886536,0.7644002437591553,0.7770660519599915,0.6637937426567078,0.7702841758728027
19,0.7825923562049866,0.7635796070098877,0.8011423945426941,0.7703819870948792,0.7846546769142151,0.7095074653625488,0.7765708565711975
20,0.7862600684165955,0.7787109017372131,0.8130240440368652,0.7657153606414795,0.7900416851043701,0.7143065333366394,0.7836207747459412
21,0.7925274968147278,0.7863709330558777,0.8173242211341858,0.7685937285423279,0.8111128211021423,0.7429844737052917,0.7851772308349609
22,0.789914071559906,0.793770968914032,0.825843334197998,0.7911338806152344,0.8145120143890381,0.74454265832901,0.7923471331596375
23,0.8007252812385559,0.8058463931083679,0.836028516292572,0.810046374797821,0.8249195218086243,0.785233199596405,0.7948997616767883
24,0.8222144246101379,0.8095035552978516,0.8382687568664551,0.815591037273407,0.825641930103302,0.8162209987640381,0.8107240796089172
25,0.8258028626441956,0.8140366673469543,0.8407567143440247,0.8150622248649597,0.8372473120689392,0.8262434601783752,0.8150622248649597
26,0.8316207528114319,0.8125819563865662,0.8430612087249756,0.8246265053749084,0.8411208987236023,0.8370187878608704,0.8246265053749084
27,0.8423938155174255,0.8222531676292419,0.8482542037963867,0.8330393433570862,0.8457054495811462,0.8390460014343262,0.8423938155174255
