k,mask,single,attn,ig,shapley,gate,lrp
28,0.8535768985748291,0.8237575888633728,0.8514595031738281,0.8377501964569092,0.8490626811981201,0.844806969165802,0.8415845036506653
29,0.8576632142066956,0.8265592455863953,0.8554372191429138,0.8424649238586426,0.851955235004425,0.8459653258323669,0.8472323417663574
30,0.8604576587677002,0.8319651484489441,0.858942985534668,0.8538733124732971,0.8530199527740479,0.8495936393737793,0.8509962558746338
31,0.862102746963501,0.8331093788146973,0.8594446182250977,0.8543131947517395,0.8534818291664124,0.8521453738212585,0.8541750907897949
32,0.863945722579956,0.8340868353843689,0.8596038818359375,0.8539825081825256,0.8556714057922363,0.8528062701225281,0.855226993560791
33,0.8644990921020508,0.8347513675689697,0.8620344996452332,0.8631043434143066,0.8636443614959717,0.8572298884391785,0.8569284081459045
34,0.8649365305900574,0.8407921195030212,0.8645467758178711,0.8640198111534119,0.86360764503479,0.8598709106445312,0.8571483492851257
35,0.8654170036315918,0.8407809734344482,0.8645209670066833,0.8647755980491638,0.8636314868927002,0.8604986667633057,0.8647755980491638
36,0.8657822012901306,0.8410952687263489,0.8652343153953552,0.8657822012901306,0.8639874458312988,0.8656022548675537,0.8645705580711365
37,0.8659422993659973,0.841188371181488,0.8657540678977966,0.8655727505683899,0.864168643951416,0.8659422993659973,0.8655727505683899
38,0.8662660121917725,0.8658645749092102,0.8659120202064514,0.8657754063606262,0.864192008972168,0.8659120202064514,0.8657556176185608
39,0.8664233684539795,0.8662066459655762,0.8658683896064758,0.8659734725952148,0.8658096790313721,0.8660481572151184,0.8660817742347717
40,0.8665294647216797,0.8661738038063049,0.8660735487937927,0.8661987781524658,0.8659133315086365,0.8660032749176025,0.8662309050559998
41,0.8665719628334045,0.8659822344779968,0.8658723831176758,0.866273820400238,0.8663828372955322,0.8658051490783691,0.866273820400238
42,0.8663597702980042,0.8661284446716309,0.8660816550254822,0.8662130236625671,0.8663282990455627,0.866096556186676,0.8663597702980042
43,0.8663110136985779,0.8661743998527527,0.8661743998527527,0.8661743998527527,0.8664740920066833,0.8661782145500183,0.8663013577461243
44,0.8662617802619934,0.8662617802619934,0.8662617802619934,0.8662617802619934,0.8662617802619934,0.8662617802619934,0.8662617802619934
