ranking,struct,k,mean_r2
dnn,dnn,1,0.2983619272708893
dnn,dnn,2,0.45262351632118225
dnn,dnn,3,0.580598771572113
dnn,dnn,4,0.6315694451332092
dnn,dnn,6,0.720660924911499
dnn,dnn,8,0.7468215823173523
dnn,dnn,12,0.8288722634315491
dnn,dnn,16,0.843322217464447
dnn,dnn,24,0.8760585188865662
dnn,dnn,32,0.8753361701965332
dnn,dnn,44,0.8665060997009277
dnn,gcn,1,0.29132214188575745
dnn,gcn,2,0.4787196218967438
dnn,gcn,3,0.5994287729263306
dnn,gcn,4,0.6841188073158264
dnn,gcn,6,0.7468827366828918
dnn,gcn,8,0.7691605687141418
dnn,gcn,12,0.8440605998039246
dnn,gcn,16,0.8494433760643005
dnn,gcn,24,0.8564419150352478
dnn,gcn,32,0.869339644908905
dnn,gcn,44,0.8595960140228271
noprior,dnn,1,0.2983619272708893
noprior,dnn,2,0.45262351632118225
noprior,dnn,3,0.580598771572113
noprior,dnn,4,0.5829920172691345
noprior,dnn,6,0.6873435974121094
noprior,dnn,8,0.758651077747345
noprior,dnn,12,0.8192133903503418
noprior,dnn,16,0.8434545993804932
noprior,dnn,24,0.869540274143219
noprior,dnn,32,0.8739755153656006
noprior,dnn,44,0.8658413290977478
noprior,gcn,1,0.29132214188575745
noprior,gcn,2,0.4787196218967438
noprior,gcn,3,0.5994287729263306
noprior,gcn,4,0.5916621088981628
noprior,gcn,6,0.731072723865509
noprior,gcn,8,0.7971031665802002
noprior,gcn,12,0.8414206504821777
noprior,gcn,16,0.8536844849586487
noprior,gcn,24,0.8555629253387451
noprior,gcn,32,0.8641449809074402
noprior,gcn,44,0.8644315600395203
static,dnn,1,0.2983619272708893
static,dnn,2,0.5007665753364563
static,dnn,3,0.5806093215942383
static,dnn,4,0.582425057888031
static,dnn,6,0.682216227054596
static,dnn,8,0.7826957702636719
static,dnn,12,0.8200180530548096
static,dnn,16,0.852267324924469
static,dnn,24,0.8744893670082092
static,dnn,32,0.8744097352027893
static,dnn,44,0.8677312731742859
static,gcn,1,0.29132214188575745
static,gcn,2,0.5087562203407288
static,gcn,3,0.597547709941864
static,gcn,4,0.5923743844032288
static,gcn,6,0.681854248046875
static,gcn,8,0.8208932876586914
static,gcn,12,0.8395902514457703
static,gcn,16,0.8524226546287537
static,gcn,24,0.8647914528846741
static,gcn,32,0.8662654757499695
static,gcn,44,0.8650509715080261
zeromask,dnn,1,0.2983619272708893
zeromask,dnn,2,0.45262351632118225
zeromask,dnn,3,0.580598771572113
zeromask,dnn,4,0.5829920172691345
zeromask,dnn,6,0.6861421465873718
zeromask,dnn,8,0.7583375573158264
zeromask,dnn,12,0.8187757134437561
zeromask,dnn,16,0.8468661308288574
zeromask,dnn,24,0.8694592118263245
zeromask,dnn,32,0.8751802444458008
zeromask,dnn,44,0.8670775890350342
zeromask,gcn,1,0.29132214188575745
zeromask,gcn,2,0.4787196218967438
zeromask,gcn,3,0.5994287729263306
zeromask,gcn,4,0.5916621088981628
zeromask,gcn,6,0.7291621565818787
zeromask,gcn,8,0.7956263422966003
zeromask,gcn,12,0.8370785117149353
zeromask,gcn,16,0.843909740447998
zeromask,gcn,24,0.857367992401123
zeromask,gcn,32,0.8642492890357971
zeromask,gcn,44,0.8706524968147278
masked,dnn,1,0.3535785377025604
masked,dnn,2,0.4724125862121582
masked,dnn,3,0.5763949751853943
masked,dnn,4,0.6290525197982788
masked,dnn,6,0.7274574637413025
masked,dnn,8,0.7747688293457031
masked,dnn,12,0.8017473816871643
masked,dnn,16,0.844662606716156
masked,dnn,24,0.8662013411521912
masked,dnn,32,0.8756859302520752
masked,dnn,44,0.8658638000488281
masked,gcn,1,0.33493590354919434
masked,gcn,2,0.4520128071308136
masked,gcn,3,0.5954058766365051
masked,gcn,4,0.6918556094169617
masked,gcn,6,0.7664976119995117
masked,gcn,8,0.8006751537322998
masked,gcn,12,0.8190101981163025
masked,gcn,16,0.8542637825012207
masked,gcn,24,0.8544524312019348
masked,gcn,32,0.8662639260292053
masked,gcn,44,0.8618271946907043
