field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.6857404708862305,-0.2438579918532091
gross_actual_interchange_mw,0.8759973140166133,0.49522167444229126,-0.38077563957432203
total_gen,0.99832719588513,0.9822275638580322,-0.016099632027097743
metered_load_mw,0.9962878493933236,0.97316575050354,-0.02312209888978356
total_losses,0.9334742413917716,0.7643320560455322,-0.16914218534623937
congestion_price_da,0.6602494811248918,0.418304979801178,-0.2419445013237138
congestion_price_rt,0.6702083206524372,0.3269226551055908,-0.34328566554684636
marginal_loss_price_da,0.8816090434068973,0.6646682024002075,-0.21694084100668976
total_lmp_da,0.99047564583207,0.7963671088218689,-0.19410853701020114
da_as_total_mw_primary_reserve,0.953601669814596,0.42420774698257446,-0.5293939228320216
da_as_total_mw_synchronized_reserve,0.920000100798808,0.3781389594078064,-0.5418611413910016
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.712604820728302,-0.20153889709302164
