qid,indices,seed,selection_group,proxy_child_search_syn,proxy_child_audit_syn,proxy_any_rank_search,proxy_aligned_rank_search,proxy_child_search_conf,proxy_child_audit_conf,dnn_syn4,dnn_child_conf,dnn_child_conf_index,proxy_search_conf_matches_dnn,proxy_audit_conf_matches_dnn,dnn_parent_any,dnn_parent_aligned,dnn_best_parent_conf,dnn_parent_conf_match,dnn_any_parent_gt_005,dnn_aligned_parent_gt_005,dnn_any_parent_gt_010,dnn_aligned_parent_gt_010
s06_11_16_17,"6,11,16,17",0,aligned,0.1558760851621627,0.1658225655555725,254,65,4,4,0.16317522525787354,total_losses,4,True,True,0.13454192876815796,0.13454192876815796,total_losses,True,True,True,True,True
s09_18_20_38,"9,18,20,38",0,aligned,0.1279180943965912,0.0830387622117996,14,11,0,0,0.07721477746963501,net_actual_interchange_mw,0,True,True,0.3270578384399414,0.3270578384399414,net_actual_interchange_mw,True,True,True,True,True
s07_10_14_17,"7,10,14,17",0,aligned,0.1167833358049392,0.1034596711397171,16,4,11,11,0.09321033954620361,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.21656161546707153,0.21656161546707153,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s11_13_31_40,"11,13,31,40",0,aligned,0.1075330004096031,0.1068225726485252,320,77,4,4,0.11144423484802246,da_as_total_mw_thirty_minutes_reserve,11,False,False,0.13153380155563354,0.13153380155563354,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s07_14_15_17,"7,14,15,17",0,aligned,0.1056457236409187,0.0747749060392379,16,4,11,0,0.08114808797836304,net_actual_interchange_mw,0,False,True,0.21656161546707153,0.09197121858596802,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,False
s09_14_18_32,"9,14,18,32",0,aligned,0.1043261215090751,0.1046555414795875,8,1,11,11,0.09383904933929443,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.30364668369293213,0.30364668369293213,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s09_14_18_19,"9,14,18,19",0,aligned,0.1029512882232666,0.0849850252270698,8,1,11,11,0.06756353378295898,net_actual_interchange_mw,0,False,False,0.39253169298171997,0.39253169298171997,net_actual_interchange_mw,True,True,True,True,True
s01_03_07_13,"1,3,7,13",0,aligned,0.1003978103399276,0.0683218911290168,107,27,4,4,0.11665719747543335,total_losses,4,True,True,0.11318767070770264,0.10419249534606934,gross_actual_interchange_mw,False,True,True,True,True
s07_09_17_18,"7,9,17,18",0,cross_conf,0.1441264897584915,0.1507430076599121,86,2219,3,3,0.09652912616729736,total_lmp_da,8,False,False,0.1283257007598877,0.07609272003173828,total_losses,False,True,True,True,False
s01_07_09_14,"1,7,9,14",0,cross_conf,0.1349265128374099,0.1076022610068321,388,388,11,11,0.1064109206199646,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.13525402545928955,0.06992000341415405,total_losses,False,True,True,True,False
s07_11_17_43,"7,11,17,43",0,cross_conf,0.1182344183325767,0.0960497185587883,140,200,4,4,0.06717061996459961,total_losses,4,True,True,0.14532434940338135,0.14513641595840454,total_gen,False,True,True,True,True
s01_04_07_14,"1,4,7,14",0,cross_conf,0.1090925484895706,0.1614058762788772,388,111,4,4,0.12408041954040527,total_losses,4,True,True,0.13525402545928955,0.13525402545928955,total_losses,True,True,True,True,True
s01_02_07_12,"1,2,7,12",0,cross_conf,0.1062272787094116,0.1122872158885002,41,49,4,4,0.11386454105377197,total_losses,4,True,True,0.13859951496124268,0.13859951496124268,total_losses,True,True,True,True,True
s07_12_13_42,"7,12,13,42",0,cross_conf,0.102674052119255,0.1038419529795646,682,155,2,2,0.10801303386688232,total_gen,2,True,True,0.11421221494674683,0.11421221494674683,total_gen,True,True,True,True,True
s04_07_17_38,"4,7,17,38",0,cross_conf,0.1013624742627143,0.1044728755950927,29,9,2,2,0.052137017250061035,total_gen,2,True,True,0.19939929246902466,0.13052880764007568,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,True
s00_01_11_14,"0,1,11,14",0,cross_conf,0.1001286432147026,0.0690745413303375,21,120,0,0,0.10480129718780518,net_actual_interchange_mw,0,True,True,0.1733231544494629,0.1260794997215271,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,True
s07_20_30_38,"7,20,30,38",0,blind,0.1545516401529312,0.0479141473770141,1418,140,5,4,0.03715628385543823,congestion_price_da,5,True,False,0.09965604543685913,0.09965604543685913,congestion_price_da,True,True,True,False,False
s07_19_30_38,"7,19,30,38",0,blind,0.1354874074459076,0.0441366620361804,1135,87,5,4,0.04371064901351929,congestion_price_da,5,True,False,0.13093310594558716,0.13093310594558716,congestion_price_da,True,True,True,True,True
s04_24_30_38,"4,24,30,38",0,blind,0.1040833741426467,0.0301225706934928,1019,10,5,2,0.044783830642700195,da_as_total_mw_synchronized_reserve,10,False,False,0.09785181283950806,0.07120388746261597,total_gen,False,True,True,False,False
s07_11_15_31,"7,11,15,31",0,blind,0.1024428904056549,0.0961382240056991,1178,262,4,4,0.05586278438568115,total_losses,4,True,True,0.1088598370552063,0.1088598370552063,total_losses,True,True,True,True,True
s05_07_11_31,"5,7,11,31",0,blind,0.1006056517362594,0.0995836481451988,1824,404,4,4,0.06411176919937134,total_losses,4,True,True,0.10659831762313843,0.10659831762313843,total_losses,True,True,True,True,True
s05_07_11_32,"5,7,11,32",0,blind,0.1006019189953804,0.099580243229866,1827,405,4,4,0.06571507453918457,total_losses,4,True,True,0.10936403274536133,0.10936403274536133,total_losses,True,True,True,True,True
s11_15_17_31,"11,15,17,31",0,blind,0.1003311872482299,0.1024537086486816,1178,262,4,4,0.07701307535171509,total_losses,4,True,True,0.1088598370552063,0.1088598370552063,total_losses,True,True,True,True,True
s11_15_17_32,"11,15,17,32",0,blind,0.1003298610448837,0.1024471446871757,1179,263,4,4,0.08790892362594604,total_losses,4,True,True,0.10305631160736084,0.10305631160736084,total_losses,True,True,True,True,True
s06_11_16_17,"6,11,16,17",1,aligned,0.1558760851621627,0.1658225655555725,254,65,4,4,0.1626495122909546,total_losses,4,True,True,0.1332237720489502,0.1332237720489502,total_losses,True,True,True,True,True
s09_18_20_38,"9,18,20,38",1,aligned,0.1279180943965912,0.0830387622117996,14,11,0,0,0.07809674739837646,net_actual_interchange_mw,0,True,True,0.32996857166290283,0.32996857166290283,net_actual_interchange_mw,True,True,True,True,True
s07_10_14_17,"7,10,14,17",1,aligned,0.1167833358049392,0.1034596711397171,16,4,11,11,0.0992613434791565,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.20964694023132324,0.20964694023132324,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s11_13_31_40,"11,13,31,40",1,aligned,0.1075330004096031,0.1068225726485252,320,77,4,4,0.11285483837127686,da_as_total_mw_thirty_minutes_reserve,11,False,False,0.12768244743347168,0.12768244743347168,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s07_14_15_17,"7,14,15,17",1,aligned,0.1056457236409187,0.0747749060392379,16,4,11,0,0.07290077209472656,net_actual_interchange_mw,0,False,True,0.20964694023132324,0.09423857927322388,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,False
s09_14_18_32,"9,14,18,32",1,aligned,0.1043261215090751,0.1046555414795875,8,1,11,11,0.0955008864402771,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.3014674782752991,0.3014674782752991,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s09_14_18_19,"9,14,18,19",1,aligned,0.1029512882232666,0.0849850252270698,8,1,11,11,0.055192649364471436,net_actual_interchange_mw,0,False,False,0.402496874332428,0.402496874332428,net_actual_interchange_mw,True,True,True,True,True
s01_03_07_13,"1,3,7,13",1,aligned,0.1003978103399276,0.0683218911290168,107,27,4,4,0.12262749671936035,total_losses,4,True,True,0.11806696653366089,0.10076332092285156,gross_actual_interchange_mw,False,True,True,True,True
s07_09_17_18,"7,9,17,18",1,cross_conf,0.1441264897584915,0.1507430076599121,86,2219,3,3,0.09250175952911377,total_lmp_da,8,False,False,0.12678664922714233,0.0727033019065857,total_losses,False,True,True,True,False
