indices,child_search_syn,child_audit_syn,child_search_conf,child_audit_conf,child_conf_stable,any_parent_score_search,aligned_parent_score_search_caudit,aligned_parent_score_search_csearch,any_parent_score_audit,aligned_parent_score_audit,any_rank_search,aligned_rank_search_caudit,aligned_rank_search_csearch,any_rank_audit,aligned_rank_audit,best_parent_conf_search,best_parent_conf_audit,best_parent_conf_matches_child_audit,best_parent_conf_matches_child_search,best_parent_pos_search,best_parent_pos_audit
"0,1,2,40",0.024160493165254593,0.06174129992723465,11,7,False,0.08145482838153839,0.017315221950411797,0.08145482838153839,0.07327110320329666,0.004917231388390064,845,1868,361,1337,4979,11,11,False,True,2,2
"0,1,3,14",0.05060102790594101,0.04852110147476196,0,11,False,0.08125487715005875,0.07539823651313782,0.08125487715005875,0.08375004678964615,0.08375004678964615,851,473,164,889,322,0,11,False,True,1,1
"0,1,3,19",0.05916232988238335,0.03644736111164093,0,0,True,0.08370809257030487,0.08370809257030487,0.08370809257030487,0.06857670843601227,0.06857670843601227,782,146,146,1610,258,0,0,True,True,1,3
"0,1,3,20",0.0554085448384285,0.0315689779818058,0,0,True,0.07918629050254822,0.07918629050254822,0.07918629050254822,0.05968582257628441,0.05968582257628441,940,181,181,2294,404,0,0,True,True,1,1
"0,1,3,30",0.05292489752173424,0.03340761736035347,0,10,False,0.13623195886611938,0.023921210318803787,0.07765556126832962,0.12176564335823059,0.026869861409068108,95,824,196,200,573,11,11,False,False,3,3
"0,1,3,38",0.06223631277680397,0.04207870736718178,11,11,True,0.12518051266670227,0.09672490507364273,0.09672490507364273,0.07634767889976501,0.06879980862140656,130,202,202,1185,591,0,0,False,False,1,3
"0,1,3,40",0.050237663090229034,0.01527674961835146,0,11,False,0.06922606378793716,0.058980584144592285,0.06922606378793716,0.0630759745836258,0.03676648065447807,1384,856,280,1993,2353,0,0,False,True,1,3
"0,1,3,42",0.056372009217739105,0.028592050075531006,0,0,True,0.12550309300422668,0.12550309300422668,0.12550309300422668,0.15995676815509796,0.15995676815509796,129,32,32,53,18,0,0,True,True,3,3
"0,1,4,19",0.07622077316045761,0.06433713436126709,0,0,True,0.14498968422412872,0.14498968422412872,0.14498968422412872,0.1369844228029251,0.1369844228029251,79,23,23,114,27,0,0,True,True,3,3
"0,1,4,20",0.061807043850421906,0.06520745158195496,0,0,True,0.12188825011253357,0.12188825011253357,0.12188825011253357,0.1142239049077034,0.1142239049077034,151,34,34,271,51,0,0,True,True,3,3
"0,1,4,38",0.0395578034222126,0.053791992366313934,0,4,False,0.12518051266670227,0.028022002428770065,0.12518051266670227,0.12420223653316498,0.04523297771811485,130,2115,33,182,657,0,0,False,True,1,2
"0,1,4,40",0.031185297295451164,0.05497412383556366,11,0,False,0.08398793637752533,0.06922606378793716,0.08398793637752533,0.11837802827358246,0.05987151339650154,771,280,328,214,400,11,4,False,True,2,3
"0,1,5,7",0.05126616731286049,0.04248100519180298,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.06269796937704086,0.06269796937704086,442,72,72,2022,345,0,0,True,True,0,0
"0,1,5,11",0.06611696630716324,0.05597468465566635,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.08728782832622528,0.08728782832622528,442,72,72,753,111,0,0,True,True,0,2
"0,1,5,14",0.07044610381126404,0.0598275288939476,11,11,True,0.09860289096832275,0.07431624084711075,0.07431624084711075,0.08375004678964615,0.08375004678964615,442,491,491,889,322,0,11,False,False,0,1
"0,1,5,19",0.06582126021385193,0.0709739625453949,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.09263361245393753,0.06767527014017105,442,72,72,619,269,0,7,True,True,0,3
"0,1,5,20",0.062412917613983154,0.07617403566837311,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.08887011557817459,0.06269796937704086,442,72,72,707,345,0,7,True,True,0,3
"0,1,5,24",0.05723286420106888,0.03898504376411438,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.06269796937704086,0.06269796937704086,442,72,72,2022,345,0,0,True,True,0,0
"0,1,5,30",0.05433226749300957,0.04697103053331375,7,0,False,0.09860289096832275,0.09860289096832275,0.04273742064833641,0.0652456060051918,0.06269796937704086,442,72,331,1814,345,0,11,True,False,0,2
"0,1,5,37",0.057317446917295456,0.04632745310664177,11,11,True,0.09860289096832275,0.0901266559958458,0.0901266559958458,0.09120672196149826,0.09120672196149826,442,259,259,653,219,0,11,False,False,0,2
"0,1,5,39",0.05248796194791794,0.0315728522837162,0,11,False,0.09860289096832275,0.06485491245985031,0.09860289096832275,0.06269796937704086,0.05428401008248329,442,684,72,2022,1121,0,0,False,True,0,0
"0,1,5,40",0.0519212931394577,0.04215983673930168,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.06269796937704086,0.06269796937704086,442,72,72,2022,345,0,0,True,True,0,0
"0,1,5,42",0.06872578710317612,0.040920600295066833,0,0,True,0.09860289096832275,0.09860289096832275,0.09860289096832275,0.08529230952262878,0.08529230952262878,442,72,72,828,123,0,0,True,True,0,3
"0,1,6,7",0.05013482645153999,0.022135812789201736,0,0,True,0.04750964045524597,0.046524982899427414,0.046524982899427414,0.05493060499429703,0.05493060499429703,3396,935,935,2792,509,11,0,False,False,0,3
"0,1,6,19",0.05172057822346687,0.049096327275037766,0,0,True,0.08370809257030487,0.08370809257030487,0.08370809257030487,0.06767527014017105,0.06767527014017105,782,146,146,1654,269,0,0,True,True,1,1
"0,1,6,20",0.05331490933895111,0.051458939909935,0,0,True,0.07918629050254822,0.07918629050254822,0.07918629050254822,0.07249364256858826,0.05968582257628441,940,181,181,1379,404,0,11,True,True,1,2
"0,1,6,34",0.05397140979766846,0.03830688074231148,0,11,False,0.060356173664331436,0.04750964045524597,0.060356173664331436,0.04714994132518768,0.04238715395331383,1979,1386,451,3673,1842,0,0,False,True,3,3
"0,1,6,35",0.05397140979766846,0.03830688074231148,0,11,False,0.060356173664331436,0.04750964045524597,0.060356173664331436,0.04714994132518768,0.04238715395331383,1980,1386,452,3674,1843,0,0,False,True,3,3
"0,1,6,36",0.05397140979766846,0.03830688074231148,0,11,False,0.060356173664331436,0.04750964045524597,0.060356173664331436,0.04714994132518768,0.04238715395331383,1981,1386,453,3675,1844,0,0,False,True,3,3
"0,1,6,40",0.05494558811187744,0.028874283656477928,11,11,True,0.06922606378793716,0.055720895528793335,0.055720895528793335,0.05622182786464691,0.041587360203266144,1384,980,980,2656,1907,0,0,False,False,1,2
"0,1,7,10",0.1068163737654686,0.10853380709886551,4,4,True,0.08704983443021774,0.03452017903327942,0.03452017903327942,0.09412267059087753,0.036886293441057205,675,1466,1466,594,1004,8,7,False,False,2,1
"0,1,7,14",0.09518261253833771,0.10525000840425491,11,11,True,0.10102416574954987,0.07999473810195923,0.07999473810195923,0.08375004678964615,0.08375004678964615,388,388,388,889,322,0,11,False,False,3,1
