qid,indices,seed,selection_group,proxy_child_search_syn,proxy_child_audit_syn,proxy_any_rank_search,proxy_aligned_rank_search,proxy_child_search_conf,proxy_child_audit_conf,dnn_syn4,dnn_child_conf,dnn_child_conf_index,proxy_search_conf_matches_dnn,proxy_audit_conf_matches_dnn,dnn_parent_any,dnn_parent_aligned,dnn_best_parent_conf,dnn_parent_conf_match,dnn_any_parent_gt_005,dnn_aligned_parent_gt_005,dnn_any_parent_gt_010,dnn_aligned_parent_gt_010
s06_11_16_17,"6,11,16,17",mean_r2,aligned,0.1558760851621627,0.1658225655555725,254,65,4,4,0.16291236877441406,total_losses,4,True,True,0.13388285040855408,0.13388285040855408,total_losses,True,True,True,True,True
s09_18_20_38,"9,18,20,38",mean_r2,aligned,0.1279180943965912,0.0830387622117996,14,11,0,0,0.07765576243400574,net_actual_interchange_mw,0,True,True,0.3285132050514221,0.3285132050514221,net_actual_interchange_mw,True,True,True,True,True
s07_10_14_17,"7,10,14,17",mean_r2,aligned,0.1167833358049392,0.1034596711397171,16,4,11,11,0.09623584151268005,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.2131042778491974,0.2131042778491974,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s11_13_31_40,"11,13,31,40",mean_r2,aligned,0.1075330004096031,0.1068225726485252,320,77,4,4,0.11214953660964966,da_as_total_mw_thirty_minutes_reserve,11,False,False,0.1296081244945526,0.1296081244945526,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s07_14_15_17,"7,14,15,17",mean_r2,aligned,0.1056457236409187,0.0747749060392379,16,4,11,0,0.0770244300365448,net_actual_interchange_mw,0,False,True,0.2131042778491974,0.09310489892959595,da_as_total_mw_thirty_minutes_reserve,False,True,True,True,False
s09_14_18_32,"9,14,18,32",mean_r2,aligned,0.1043261215090751,0.1046555414795875,8,1,11,11,0.09466996788978577,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.3032005727291107,0.3032005727291107,da_as_total_mw_thirty_minutes_reserve,True,True,True,True,True
s09_14_18_19,"9,14,18,19",mean_r2,aligned,0.1029512882232666,0.0849850252270698,8,1,11,11,0.06137809157371521,net_actual_interchange_mw,0,False,False,0.397514283657074,0.397514283657074,net_actual_interchange_mw,True,True,True,True,True
s01_03_07_13,"1,3,7,13",mean_r2,aligned,0.1003978103399276,0.0683218911290168,107,27,4,4,0.11964234709739685,total_losses,4,True,True,0.11562731862068176,0.10247790813446045,gross_actual_interchange_mw,False,True,True,True,True
s07_09_17_18,"7,9,17,18",mean_r2,cross_conf,0.1441264897584915,0.1507430076599121,86,2219,3,3,0.09451544284820557,total_lmp_da,8,False,False,0.12755617499351501,0.07439801096916199,total_losses,False,True,True,True,False
s01_07_09_14,"1,7,9,14",mean_r2,cross_conf,0.1349265128374099,0.1076022610068321,388,388,11,11,0.105417400598526,da_as_total_mw_thirty_minutes_reserve,11,True,True,0.13350129127502441,0.0667668879032135,total_losses,False,True,True,True,False
