order,tau,n_strong_audit,touched,found,recall,aligned_path_found,aligned_path_recall,borrowed_path_found,borrowed_fraction_of_found
4,0.05,7894,30766,5381,0.6816569546491006,3314,0.4198125158348113,2067,0.3841293439881063
4,0.1,325,30766,258,0.7938461538461539,186,0.5723076923076923,72,0.27906976744186046
4,0.15,40,30766,25,0.625,20,0.5,5,0.2
5,0.05,10946,34954,3388,0.30951945916316465,2506,0.22894207929837385,882,0.2603305785123967
5,0.1,270,34954,92,0.34074074074074073,79,0.29259259259259257,13,0.14130434782608695
5,0.15,38,34954,11,0.2894736842105263,9,0.23684210526315788,2,0.18181818181818182
